商家名,商圈,类型,评分,城市,人均价格
上,海
人和馆,徐家汇,上海本帮菜,9.066666666666666,上海,180
蘇小柳点心专门店,人民广场,上海本帮菜,8.933333333333334,上海,73
琵琶蛮·钟鼓馔玉,人民广场,淮扬菜,9.1,上海,82
光明邨大酒家,淮海路/陕西南路,上海本帮菜,7.5,上海,70
醉东Oriental House,静安寺,苏浙菜,9.033333333333333,上海,266
晶焱上海菜,徐家汇,上海本帮菜,8.799999999999999,上海,134
荟廷·晶萃,打浦桥,上海本帮菜,9.066666666666666,上海,267
妈妈家,打浦桥,上海本帮菜,8.133333333333333,上海,90
文餐厅 Y'S KITCHEN,淮海路,上海本帮菜,8.633333333333333,上海,231
桂满陇·枕水江南,人民广场,浙菜,8.966666666666667,上海,92
甬府小鲜,八佰伴,浙菜,8.933333333333334,上海,265
新白鹿餐厅,上南地区,浙菜,9.1,上海,68
江南里,月星环球港,浙菜,8.666666666666666,上海,86
吉品小鲜Jhouse,静安寺,上海本帮菜,9.066666666666668,上海,266
米桃-吴韵风雅·曲园,天山,苏帮菜,9.133333333333333,上海,134
翠亭酒家,南京东路,上海本帮菜,7.933333333333334,上海,103
新发现,老闵行/交大师大,浙菜,9.133333333333333,上海,74
瑞福园,淮海路,上海本帮菜,7.6000000000000005,上海,152
席家花园,静安寺,上海本帮菜,7.766666666666666,上海,141
随堂里,南京西路,苏浙菜,9.166666666666666,上海,520
晓平饭店,音乐学院,上海本帮菜,8.166666666666666,上海,114
逸道,外滩,上海本帮菜,9.266666666666667,上海,386
食庐,天山,淮扬菜,9.0,上海,260
逸品淮扬,北外滩/外白渡桥,淮扬菜,9.1,上海,246
南麓·浙里,外滩,浙菜,8.533333333333333,上海,280
老吉士酒家,徐家汇,上海本帮菜,7.333333333333333,上海,212
保罗酒楼,静安寺,上海本帮菜,6.866666666666667,上海,114
煌庭大院,老西门/陆家浜路,上海本帮菜,8.833333333333334,上海,106
咏心·上海点心,大悦城,上海本帮菜,8.766666666666667,上海,85
蘭心餐厅,八佰伴,上海本帮菜,8.766666666666667,上海,179
玫瑰厅上海菜,上海影城/新华路,上海本帮菜,9.133333333333333,上海,231
荣小馆,淮海路/陕西南路,浙菜,9.033333333333333,上海,231
虫二酒肆,徐家汇,苏浙菜,8.766666666666667,上海,90
枚青·红楼小宴,南京西路,浙菜,8.933333333333332,上海,96
SHANGHAI 春在,陆家嘴,上海本帮菜,8.533333333333333,上海,160
南京大牌档,人民广场/南京路,南京菜,8.200000000000001,上海,71
爱玲EILEEN,陆家嘴,上海本帮菜,9.066666666666668,上海,333
新荣记,南京西路,苏浙菜,9.166666666666666,上海,538
鹿园 MOOSE,上海影城/新华路,上海本帮菜,8.933333333333334,上海,472
70后·绍东家,大宁地区,苏浙菜,8.733333333333333,上海,122
上海滩餐厅,外滩,上海本帮菜,9.3,上海,637
忆家一宴,徐家汇,上海本帮菜,8.833333333333334,上海,184
浮沉里·点心专营店,人民广场/南京路,上海本帮菜,8.4,上海,31
绿波廊,城隍庙/豫园,上海本帮菜,7.733333333333334,上海,214
鲍發沪,徐家汇,上海本帮菜,8.833333333333334,上海,183
牧羊餐厅,徐家汇,上海本帮菜,8.066666666666666,上海,82
三玛璐酒楼,南京东路,上海本帮菜,8.066666666666668,上海,104
老头儿油爆虾,曲阳地区,浙菜,8.633333333333333,上海,93
钱塘秋荷新中菜,高境,上海本帮菜,8.933333333333334,上海,98
兴兴茶坊,上南地区,上海本帮菜,9.233333333333333,上海,173
黄鱼馆Jhouse,静安寺,苏浙菜,9.133333333333333,上海,436
渔水之家,朱家角/东方绿舟,苏浙菜,9.0,上海,86
孔乙己酒家,老西门,苏浙菜,8.166666666666666,上海,145
月湖萃,南京东路,上海本帮菜,8.666666666666666,上海,146
吾意浓·一揽江南,南京西路,苏浙菜,8.533333333333333,上海,175
馨和小馆,老西门,上海本帮菜,8.333333333333334,上海,78
兰亭餐厅,人民广场,上海本帮菜,7.2,上海,66
王宝和上海餐厅,南京东路,上海本帮菜,8.533333333333333,上海,337
游宴一品淮扬,外滩,淮扬菜,9.266666666666667,上海,657
兴安餐厅,淮海路,上海本帮菜,7.766666666666667,上海,81
RIVIERA  松鹤楼,外滩,苏帮菜,8.933333333333332,上海,502
食八档·台州小网海鲜,南京东路,浙菜,8.433333333333334,上海,90
和平饭店龙凤厅,外滩,上海本帮菜,8.733333333333333,上海,615
和记小菜,徐家汇,上海本帮菜,8.833333333333334,上海,116
转角·上海老弄堂,淮海路,上海本帮菜,8.533333333333333,上海,151
饭香上海菜,打浦桥/田子坊,上海本帮菜,8.666666666666666,上海,108
上海会馆,世纪大道,上海本帮菜,8.6,上海,157
阿金大白·白斩鸡羊专门店,人民广场/南京路,上海本帮菜,8.133333333333333,上海,38
帥帥精致家常味,淮海路/陕西南路,上海本帮菜,8.4,上海,237
东香酱肉铺,淮海路/陕西南路,上海本帮菜,7.566666666666666,上海,77
客缘·初見,丰庄,苏浙菜,9.0,上海,111
懿·EAST,八佰伴,淮扬菜,9.133333333333333,上海,364
海金滋,世纪大道,上海本帮菜,8.633333333333335,上海,68
金时代顺风大酒店,彭浦镇,上海本帮菜,8.966666666666667,上海,125
锦圜上海菜,人民广场,上海本帮菜,8.366666666666667,上海,83
福1088,静安寺,上海本帮菜,8.633333333333333,上海,608
中华老字号·四如春食府,中山北路/甘泉地区,上海本帮菜,7.266666666666667,上海,29
建国328小馆,肇嘉浜路沿线,上海本帮菜,7.833333333333333,上海,104
丰收粮管局,人民广场,浙菜,8.200000000000001,上海,93
暗恋桃花源,东明,苏浙菜,8.366666666666667,上海,78
东宫小院,平凉路,浙菜,8.533333333333333,上海,95
奶奶的味道,静安寺,上海本帮菜,7.8,上海,65
上海总会SHANGHAICLUB,南京西路,上海本帮菜,8.933333333333334,上海,361
逸采EASEFUL CUISINE,淮海路,浙菜,8.7,上海,183
冶春,老西门,淮扬菜,8.166666666666666,上海,94
大勝胡同,城隍庙/豫园,上海本帮菜,8.5,上海,158
海味观,南京西路,上海本帮菜,9.066666666666666,上海,306
馨源楼,瑞金宾馆区,苏浙菜,8.933333333333334,上海,275
雍颐庭,陆家嘴,上海本帮菜,9.0,上海,690
客觀民間菜,康桥/周浦,上海本帮菜,8.9,上海,107
上海1号私藏菜,静安寺,上海本帮菜,7.566666666666666,上海,133
雅科本帮江浙菜,人民广场,上海本帮菜,8.033333333333333,上海,138
淘小馆,莘庄龙之梦,上海本帮菜,8.733333333333333,上海,88
圆苑,淮海路/陕西南路,上海本帮菜,9.066666666666666,上海,219
佬肥猫,康桥/周浦,浙菜,8.733333333333333,上海,80
拾紫,人民广场/南京路,浙菜,8.566666666666668,上海,120
荟宴融品,淮海路/陕西南路,上海本帮菜,8.833333333333334,上海,260
春风松月楼,静安寺,上海本帮菜,7.866666666666667,上海,37
双塔老饭店,南翔,上海本帮菜,8.5,上海,79
简小姐•精品本帮菜,徐家汇,上海本帮菜,8.433333333333334,上海,87
先启半步颠小酒馆,长寿路,川菜馆,8.8,上海,115
半步颠小酒馆,打浦桥/田子坊,川菜馆,8.1,上海,112
破店小酒馆,长寿路,川菜馆,8.299999999999999,上海,106
天辣,打浦桥/田子坊,川菜馆,9.2,上海,109
本甄精品川菜,新天地/马当路,川菜馆,9.133333333333333,上海,153
大唐渔夫人·藤椒肥肠鱼,南翔,川菜馆,8.4,上海,91
THE PEACOCK ROOM孔雀廳,南京西路,川菜馆,8.766666666666666,上海,354
刘栋梁大排档,淮海路,川菜馆,8.3,上海,96
椒点·川粤精品,徐家汇,川菜馆,9.166666666666666,上海,160
映水芙蓉,淮海路/陕西南路,川菜馆,9.166666666666666,上海,171
鱼酷Pro,月星环球港,烤鱼,8.266666666666666,上海,96
今朝桃花醉小酒馆,中山公园/江苏路,川菜馆,8.4,上海,103
杨记隆府,张江,川菜馆,8.200000000000001,上海,109
天辣小酒馆,虹桥/古北,川菜馆,8.966666666666667,上海,95
兴蜀府,五角场/大学区,川菜馆,8.733333333333333,上海,131
柴門飯兒,八佰伴,川菜馆,9.0,上海,143
江湖二十八度·江湖菜酒馆,五角场/大学区,川菜馆,8.666666666666666,上海,109
成都鬼瘾食,徐家汇,川菜馆,8.733333333333333,上海,108
余舍酒馆,淮海路/陕西南路,川菜馆,9.0,上海,183
胡桃里音乐酒馆,金桥,川菜馆,8.6,上海,149
太二酸菜鱼,徐家汇,酸菜鱼/水煮鱼,9.033333333333333,上海,105
回水镇·江湖川菜,庙行/共康,川菜馆,8.266666666666667,上海,109
旺池川萃,世纪大道,川菜馆,8.866666666666667,上海,137
磁盛天毛血旺,人民广场,川菜馆,8.5,上海,85
孔雀川菜,徐家汇,川菜馆,8.566666666666668,上海,149
望蓉城·古法酸菜鱼,世纪大道,酸菜鱼/水煮鱼,8.933333333333334,上海,85
六樘门,上海影城/新华路,川菜馆,8.133333333333333,上海,46
红辣椒,徐家汇,川菜馆,9.1,上海,112
蛙遇·十三香炭火蛙锅,月星环球港,川菜馆,8.766666666666667,上海,96
小小年纪江湖菜,中山公园/江苏路,川菜馆,8.433333333333332,上海,110
海棠·意象,南翔,川菜馆,8.333333333333334,上海,120
品味川粹,新天地,川菜馆,8.566666666666668,上海,91
浮生酒馆,中山公园,川菜馆,9.033333333333333,上海,123
重庆鸡公煲,梅川路,川菜馆,7.2,上海,78
通巷六號,南京西路,川菜馆,8.466666666666667,上海,180
