商家名,商圈,类型,评分,城市,人均价格
北,京
桂满陇-西湖船宴,西单,浙菜,8.766666666666666,北京,107
淮扬府,安定门,淮扬菜,9.066666666666666,北京,249
新荣记,亮马桥/三元桥,苏浙菜,9.266666666666667,北京,1017
金山城·湖畔人家,亮马桥/三元桥,苏浙菜,9.033333333333333,北京,215
华盛丰温州大排档,劲松/潘家园,苏浙菜,8.366666666666667,北京,134
苏帮袁Sue Cuisine,青年路,淮扬菜,9.0,北京,153
屋里厢上海菜,三里屯/工体,上海本帮菜,9.0,北京,363
老吉堂上海私房菜,工人体育场,上海本帮菜,9.033333333333333,北京,250
美味斋,广内大街,上海本帮菜,8.200000000000001,北京,97
兰溪小馆,香山,苏浙菜,9.066666666666666,北京,107
荣小馆,双井,浙菜,9.133333333333333,北京,163
森隆饭莊,崇文门,苏浙菜,8.9,北京,154
南京大牌档,西直门/动物园,淮扬菜,8.4,北京,72
绿茶餐厅,中关村,浙菜,9.166666666666666,北京,77
庭院人家,亚运村,淮扬菜,8.733333333333333,北京,186
玉华台饭庄,牡丹园/北太平庄,淮扬菜,7.966666666666668,北京,94
外婆家,西红门,浙菜,8.366666666666667,北京,73
湖畔人家PLUS江浙菜,望京,苏浙菜,9.033333333333333,北京,199
上海滩餐厅,国贸,上海本帮菜,9.0,北京,589
余记小馆,大望路,温州菜,8.6,北京,125
鼎泰丰,王府井/东单,淮扬菜,8.933333333333334,北京,139
江南赋,国贸/建外,苏浙菜,8.666666666666666,北京,192
桃花印巷江南小馆,崇文门,苏帮菜,9.066666666666668,北京,121
松鹤楼,中关村,苏帮菜,8.799999999999999,北京,221
冶春,西城区,淮扬菜,8.066666666666668,北京,115
香浙汇,望京,苏浙菜,8.6,北京,151
南小馆,西单,上海本帮菜,7.8999999999999995,北京,87
无茗巷,远大路,淮扬菜,8.766666666666667,北京,154
千岛湖鱼味馆,对外经贸,浙菜,8.833333333333334,北京,138
竹外桃花·江南小酒馆,大望路,浙菜,8.666666666666668,北京,118
同春园,德外大街,淮扬菜,7.733333333333333,北京,154
翡翠江南,国贸,淮扬菜,8.7,北京,170
沪江香满楼,东四,上海本帮菜,7.833333333333333,北京,120
常州宾馆餐厅,朝外大街,淮扬菜,7.833333333333333,北京,144
香然会馆,雍和宫/地坛,苏浙菜,8.0,北京,959
孔乙己尚宴,朝阳公园/团结湖,苏浙菜,9.0,北京,289
夏宫中餐厅·中国大饭店,国贸,淮扬菜,8.5,北京,366
食悦江南,和平里,淮扬菜,8.466666666666667,北京,96
汤师父,五道口,浙菜,8.933333333333332,北京,119
九朝会,望京,苏浙菜,8.7,北京,438
淮香坊,中关村,淮扬菜,8.566666666666666,北京,173
翡翠拉面小笼包,远大路,上海本帮菜,8.6,北京,99
淮扬春饭店,月坛,淮扬菜,7.6000000000000005,北京,151
宴小厨,百子湾,浙菜,8.833333333333334,北京,193
无名居,亚运村,淮扬菜,8.600000000000001,北京,317
苏浙汇,朝阳门,苏浙菜,8.266666666666667,北京,192
江仙雅居,亦庄,淮扬菜,9.1,北京,262
老船坞水上餐厅,三里屯,上海本帮菜,8.566666666666666,北京,374
惠山脚下无锡味道,朝阳门,无锡菜,8.266666666666667,北京,75
雅居小馆,航天桥,淮扬菜,8.533333333333333,北京,127
忆海小厨,上地,浙菜,8.266666666666667,北京,106
江南春,亦庄,淮扬菜,9.033333333333333,北京,145
含谟轩,西城区,淮扬菜,7.866666666666666,北京,246
孔乙己小馆,复兴门,苏浙菜,7.833333333333335,北京,139
乐香苑,海淀区,淮扬菜,8.733333333333334,北京,111
宴铭园,五道口,浙菜,7.866666666666667,北京,187
缦府宴,亮马桥/三元桥,浙菜,7.8,北京,1812
暖时,梨园,苏浙菜,8.9,北京,128
江南雅苑,总部基地,淮扬菜,8.766666666666667,北京,151
绍兴菜馆,海淀区,浙菜,7.466666666666666,北京,111
远翠阁食府,海淀区,淮扬菜,8.566666666666668,北京,130
钱塘花园酒楼,双榆树,浙菜,7.8,北京,200
悦海余记,建外大街,温州菜,8.433333333333334,北京,169
乐忻皇朝汇,酒仙桥,苏浙菜,8.1,北京,103
川浙会·江南菜馆,上地,苏浙菜,8.1,北京,177
苏畅园,安贞,淮扬菜,8.533333333333333,北京,150
上海老饭店,月坛,上海本帮菜,7.5,北京,196
经易家肴,西单,淮扬菜,8.9,北京,268
锦唐府·淮湘精粹,北京西站/六里桥,淮扬菜,8.733333333333333,北京,126
谢蟹浓·肉蟹煲,亚运村,苏浙菜,8.433333333333332,北京,87
怡和春天大酒楼,和平里,苏浙菜,8.433333333333334,北京,175
淮扬菜品鉴堂,航天桥,淮扬菜,8.866666666666667,北京,310
裕龙大酒店·大上海餐厅,航天桥,上海本帮菜,8.6,北京,137
上海小南国,朝外大街/世贸天阶,上海本帮菜,8.7,北京,138
邵合记蟹粉小笼,十里堡,无锡菜,8.333333333333334,北京,63
绍拾叁  江浙菜·酒,国贸/建外,浙菜,8.466666666666667,北京,143
一品小笼,青年路,上海本帮菜,8.033333333333333,北京,61
京城小江南,东四十条,上海本帮菜,8.266666666666667,北京,61
宁波宾馆·中餐厅,西单,浙菜,7.666666666666667,北京,114
南京精菜馆,王府井/东单,南京菜,8.266666666666667,北京,196
藕遇江南风尚餐厅,田村,苏浙菜,8.266666666666666,北京,82
弄堂小笼包,总部基地,上海本帮菜,8.033333333333333,北京,72
浙江风味海达餐厅,颐和园,苏浙菜,7.3,北京,98
咸亨酒店,安贞,苏浙菜,7.833333333333333,北京,204
莫菜坊,武夷花园,淮扬菜,8.1,北京,103
北京宜宾招待所,宣武门,川菜馆,8.266666666666667,北京,105
胡大饭馆 24h,北新桥/簋街,川菜馆,8.4,北京,170
锦府盐帮·徐宅,酒仙桥,川菜馆,9.0,北京,153
龙人居·水煮鱼,亮马桥/三元桥,酸菜鱼/水煮鱼,9.133333333333333,北京,184
苦尽酒馆,地安门,川菜馆,8.933333333333332,北京,103
耍盆友•重庆江湖菜,三里屯/工体,川菜馆,8.833333333333334,北京,116
八九零邀·活虾現做,西直门/动物园,川菜馆,9.0,北京,103
成都鬼瘾食,中关村,川菜馆,8.899999999999999,北京,90
新川办餐厅,方庄/蒲黄榆,川菜馆,8.233333333333333,北京,139
川军本色,人民大学,川菜馆,8.666666666666666,北京,149
花盐街•四川乐山小吃,国贸,川菜馆,9.0,北京,100
安诚居干锅鸭头,古城/八角,干锅/香锅,7.966666666666666,北京,83
望京一号,望京,川菜馆,8.0,北京,105
乔外婆,方庄,干锅/香锅,8.233333333333334,北京,97
滋色菇娘鱼,前门,川菜馆,9.233333333333333,北京,184
全牛道乐山跷脚牛肉,西单,川菜馆,8.9,北京,64
糖水川菜,青年路,川菜馆,8.633333333333335,北京,133
探鱼,西直门/动物园,烤鱼,9.066666666666668,北京,107
椒战·功夫水煮牛肉,青年路,川菜馆,9.0,北京,102
张妈妈特色川味馆,东城区,川菜馆,7.3999999999999995,北京,66
懒人盐府人家,安贞,川菜馆,9.033333333333333,北京,138
太二酸菜鱼,西单,酸菜鱼/水煮鱼,9.066666666666668,北京,104
热盆景酒家,虎坊桥,川菜馆,8.0,北京,75
沸腾鱼乡小宴,三里屯/工体,川菜馆,9.066666666666668,北京,156
小雲哥盐帮菜,大望路,川菜馆,8.866666666666667,北京,96
三样菜,东直门,川菜馆,8.700000000000001,北京,128
撒椒,青年路,川菜馆,8.666666666666666,北京,106
懒人四季,常营,川菜馆,8.133333333333335,北京,96
蓉亭食贝,亚运村,川菜馆,9.133333333333333,北京,116
姚姚酸菜鱼,青年路,酸菜鱼/水煮鱼,7.766666666666666,北京,93
江边城外烤全鱼,常营,烤鱼,8.933333333333334,北京,110
巨说还不错音乐餐厅,北苑家园,川菜馆,8.666666666666666,北京,144
全牛匠·川小馆,五道口,川菜馆,9.0,北京,63
锦府里,良乡,川菜馆,9.033333333333333,北京,109
成都驻京办餐厅,沙滩/美术馆,川菜馆,7.666666666666667,北京,95
林枫食堂,鲁谷,川菜馆,8.933333333333334,北京,71
懒人业余餐厅,马泉营,川菜馆,9.033333333333333,北京,129
粒粒仓大排档,北太平庄,川菜馆,8.833333333333334,北京,88
范贤光鸡公煲,劲松/潘家园,川菜馆,7.266666666666667,北京,53
峨嵋酒家总店,西城区,川菜馆,7.5,北京,99
胡桃里音乐酒馆,朝外大街/世贸天阶,川菜馆,9.066666666666666,北京,165
炉鱼,王府井/东单,烤鱼,8.700000000000001,北京,85
南锣肥猫·麻辣烤鱼,大望路,烤鱼,9.166666666666666,北京,140
蛙小侠,青年路,干锅/香锅,8.866666666666665,北京,104
眉州东坡,望京/善各庄,川菜馆,8.866666666666665,北京,110
长亭酒肆•米酒酒肆,什刹海,川菜馆,9.033333333333333,北京,123
渝信川菜,西单,川菜馆,8.033333333333333,北京,94
红巷子 · 川菜,北新桥/簋街,川菜馆,9.133333333333333,北京,138
闹川水煮鱼,五棵松,酸菜鱼/水煮鱼,8.133333333333333,北京,115
红辣椒,朝外大街/世贸天阶,川菜馆,9.266666666666666,北京,126
一味一诚·重庆烤鱼,双井,烤鱼,8.566666666666668,北京,100
双流老妈兔头,西红门,川菜馆,8.5,北京,122
漫巷·辣蟹,三里屯/工体,川菜馆,9.066666666666668,北京,201
一膳牛跷脚牛肉,望京,川菜馆,8.9,北京,72
之参餐厅,前门,川菜馆,8.933333333333332,北京,324
椿庐ChunLounge,慈云寺/八里庄,川菜馆,9.233333333333333,北京,222
蛙遇·十三香炭火蛙锅,五道口,干锅/香锅,9.1,北京,90
热盆景,王府井/东单,川菜馆,8.466666666666667,北京,80
羞答答的铁公鸡,常营,川菜馆,9.133333333333333,北京,109
锦尚阁烤鱼,双井,烤鱼,9.033333333333333,北京,123
川当家·水煮鱼,广外大街,酸菜鱼/水煮鱼,8.833333333333334,北京,93
觅境花园中餐厅,回龙观,川菜馆,8.666666666666666,北京,104
1664烤鱼酒吧,西直门/动物园,烤鱼,8.233333333333333,北京,88
漢舍川菜馆,国贸,川菜馆,8.7,北京,154
醉忆川,鲁谷,川菜馆,8.366666666666667,北京,94
蜀龙阁·金牌水煮鱼,天坛,川菜馆,9.0,北京,127
永久王川味河鲜餐厅,大望路,川菜馆,8.9,北京,300
小河盐帮·土菜馆,霄云路,川菜馆,8.966666666666667,北京,114
孟林厨房,酒仙桥,川菜馆,9.0,北京,81
水煮三国·川鲁江湖菜,香山/植物园,川菜馆,8.966666666666667,北京,103
资州味道,前门/大栅栏,川菜馆,8.299999999999999,北京,109
德哥川菜金牌水煮鱼,大红门,酸菜鱼/水煮鱼,8.933333333333334,北京,94
渔夫烤鱼,夏家胡同/纪家庙,烤鱼,8.633333333333333,北京,105
青柠椒砂锅鱼,崇文门,酸菜鱼/水煮鱼,8.9,北京,85
千汇丰渝州干锅鸭头,果园,干锅/香锅,8.9,北京,90
天府食舫,阜成门,川菜馆,8.933333333333332,北京,124
蛙蛙叫铜炉蛙锅,大望路,干锅/香锅,8.566666666666666,北京,114
辣婆婆,远大路,川菜馆,8.666666666666666,北京,121
天府掌柜,大望路,川菜馆,8.533333333333333,北京,116
嘟江不宴·时尚烤鱼,五棵松,烤鱼,8.7,北京,105
四川饭店,新街口,川菜馆,8.133333333333333,北京,118
味妙烤鱼吧,五棵松,烤鱼,8.299999999999999,北京,106
观盐·盐帮私房菜,西直门/动物园,川菜馆,8.966666666666667,北京,123
馋火炉鱼,望京,烤鱼,8.133333333333333,北京,93
渝樂江湖·重庆江湖菜,酒仙桥,川菜馆,9.133333333333333,北京,173
盐帮富顺,望京,川菜馆,8.666666666666666,北京,107
辛香汇·锦里,苹果园,川菜馆,7.7,北京,59
老屋川菜·水煮鱼,总部基地,川菜馆,9.033333333333333,北京,106
渝乡人家·私房菜,复兴门,川菜馆,7.099999999999999,北京,100
街边摊·街边边小摊摊,苏州桥,川菜馆,8.933333333333332,北京,88
宋满盆和赵满钵四川江湖菜,望京,川菜馆,8.933333333333334,北京,111
欢乐齐聚·乐山跷脚牛肉,亚运村,川菜馆,7.7,北京,43
俏江南-国贸庭院主题餐厅,国贸,川菜馆,7.966666666666668,北京,211
优渥  @川菜新概念,亚运村,川菜馆,7.933333333333333,北京,77
一个叫川的地方,望京,川菜馆,8.666666666666666,北京,96
祥云鸭干锅鸭头,顺义区,干锅/香锅,9.1,北京,110
探清水河烤鱼,广外大街,烤鱼,8.799999999999999,北京,92
揪鱼记香锅烤鱼,大望路,烤鱼,8.700000000000001,北京,62
小城渔家烤全鱼,后沙峪,烤鱼,8.966666666666667,北京,109
龙凤冰室·春丽&九龙冰室,三里屯/工体,粤式茶点,7.966666666666666,北京,42
三清潭烧鹅,三里屯,粤菜馆,9.1,北京,243
新紮師兄冰室,百子湾,茶餐厅,8.200000000000001,北京,94
蔡澜港式点心,西直门/动物园,粤式茶点,8.833333333333334,北京,102
廣州順德菜館,北太平庄,顺德菜,7.933333333333334,北京,108
虾饺妹,朝阳门,粤式茶点,8.299999999999999,北京,112
翠园,王府井/东单,粤菜馆,8.866666666666667,北京,291
贤记啫煲广东菜馆,鲁谷,广州菜,8.833333333333334,北京,96
福记茶楼,王府井/东单,茶餐厅,7.866666666666667,北京,92
小海堂·首创海堂一品煲,亮马桥/三元桥,粤菜馆,9.166666666666666,北京,235
盛中钰广味小馆,沙子口,潮汕菜,8.366666666666667,北京,147
金鼎轩南北家乡菜,雍和宫/地坛,粤菜馆,7.8999999999999995,北京,95
北京厨房,大望路,粤菜馆,8.733333333333333,北京,392
顶爷生滚粥,望京,茶餐厅,8.666666666666666,北京,88
港丽餐厅,西单,茶餐厅,7.3999999999999995,北京,103
粤食佳,十里河,粤菜馆,9.033333333333333,北京,124
四眼仔车仔面,西单,茶餐厅,8.766666666666666,北京,60
大龍發记·香港饭店,双井,粤菜馆,8.933333333333334,北京,154
狸狸茶餐廳,五道口,茶餐厅,8.233333333333334,北京,94
南拳十三姨潮汕砂锅粥,西直门/动物园,粤菜馆,9.0,北京,94
利苑酒家,建外大街,粤菜馆,9.0,北京,455
興盛東發香港大排檔 ,六里桥/丽泽桥,茶餐厅,7.933333333333334,北京,93
日昌餐馆,王府井/东单,茶餐厅,8.633333333333333,北京,89
