商家名,商圈,类型,评分,城市,人均价格
南,京
新白鹿餐厅,新街口地区,浙菜,9.166666666666666,南京,66
民国红公馆,夫子庙地区,淮扬菜,9.1,南京,270
南京大牌档,夫子庙地区,南京/江浙菜,8.9,南京,76
桂满陇-天书,新街口地区,浙菜,8.866666666666665,南京,94
香格里拉大酒店·江南灶中餐厅,新模范马路,淮扬菜,8.9,南京,281
江南里,新街口地区,苏浙菜,9.066666666666668,南京,78
南城燕归楼,夫子庙地区,淮扬菜,8.700000000000001,南京,107
强烨饭店,常府街/长白街,苏浙菜,8.366666666666667,南京,132
丈母娘的饭局,草场门/龙江,南京/江浙菜,8.866666666666667,南京,75
二十四·单 淮扬新味,升州路/集庆路,淮扬菜,9.0,南京,248
花千醉小酒馆,新街口地区,淮扬菜,8.966666666666667,南京,79
馨方园食府·市井老南京菜,新街口地区,南京/江浙菜,9.033333333333333,南京,92
竹里馆·茶馆,夫子庙地区,苏浙菜,9.1,南京,134
米桃-百花山房·桃花扇,应天大街/文体路,苏帮菜,9.1,南京,118
蜜桃餐厅·伴山 江浙融合菜,浦口区,苏浙菜,9.033333333333333,南京,76
寻魏·金陵十二菜,夫子庙地区,淮扬菜,9.133333333333333,南京,215
梅苑,新街口地区,淮扬菜,9.2,南京,351
彭庆福•苏食斋,新街口地区,苏帮菜,8.2,南京,38
小厨娘淮扬菜,升州路/集庆路,淮扬菜,9.066666666666668,南京,115
调鼎居淮扬菜,新街口地区,淮扬菜,8.966666666666667,南京,138
睿扬农府私房土菜馆,汤山镇,淮扬菜,9.1,南京,64
三品堂精致淮扬菜馆,火车站/玄武湖,淮扬菜,9.066666666666668,南京,266
新发现,江宁科学园,浙菜,8.6,南京,70
老头儿油爆虾,高新区,浙菜,8.466666666666667,南京,81
南京食朝汇,新街口地区,南京/江浙菜,8.566666666666668,南京,82
咸亨酒店,夫子庙地区,南京/江浙菜,8.366666666666665,南京,97
万国春中菜馆,湖南路,淮扬菜,8.666666666666666,南京,402
弄堂里,安德门/小行,浙菜,8.266666666666666,南京,73
石上百味,夫子庙地区,南京/江浙菜,9.0,南京,58
宴·心金陵船宴,建邺万达,淮扬菜,9.200000000000001,南京,98
眷江南之小蓝鲸,新街口地区,南京/江浙菜,8.5,南京,67
瓶子菜馆,秦虹村/中华门,淮扬菜,8.566666666666665,南京,102
品宁府,新街口地区,南京/江浙菜,8.266666666666667,南京,263
六朝瑞庭大酒店,苜蓿园,淮扬菜,9.166666666666666,南京,115
瓦库,秦虹村/中华门,淮扬菜,8.9,南京,148
绿茶餐厅,新街口地区,浙菜,8.299999999999999,南京,71
江花谙,安德门/小行,浙菜,8.133333333333333,南京,84
寻魏·随園,夫子庙地区,淮扬菜,9.133333333333333,南京,293
寻花·肆季,新街口地区,浙菜,8.966666666666667,南京,78
龙袍人家,龙袍,淮扬菜,7.833333333333333,南京,84
迟慢·刘二蛋农场餐厅,珠江路沿线,苏浙菜,9.233333333333333,南京,132
不一茶食•新派淮扬菜,奥体中心,淮扬菜,9.066666666666666,南京,122
和食佬石锅主题餐厅,新街口地区,南京/江浙菜,8.766666666666667,南京,52
广迎居老正兴菜馆,秦虹村/中华门,南京/江浙菜,8.133333333333335,南京,142
梓贤阁精品菜馆,汤山镇,淮扬菜,8.799999999999999,南京,65
曲院风荷,仙林大学城,浙菜,8.700000000000001,南京,84
多少楼台烟雨中,夫子庙地区,南京/江浙菜,8.733333333333333,南京,119
芳满庭海派菜,珠江路沿线,上海本帮菜,8.966666666666667,南京,153
应天大明王朝南京菜,紫金山/中山陵,南京/江浙菜,8.3,南京,88
十朝院子,新街口地区,南京/江浙菜,8.866666666666665,南京,100
江南晓菜,火车站/玄武湖,淮扬菜,9.033333333333333,南京,106
冶春 Nanjing,新街口地区,淮扬菜,8.1,南京,70
外婆家,夫子庙地区,浙菜,8.6,南京,71
翠竹小馆,新街口地区,苏浙菜,8.233333333333333,南京,81
大瑜吉 金陵茶宴,夫子庙地区,淮扬菜,8.733333333333333,南京,134
禾苑小馆,奥体中心,苏浙菜,7.666666666666667,南京,242
茶肆,仙林大学城,苏浙菜,8.666666666666666,南京,151
大风歌食府 徐州特色,珠江路沿线,苏帮菜,8.033333333333333,南京,78
烹小鲜知黄鱼,紫金山/中山陵,浙菜,9.066666666666666,南京,137
贰号院子,草场门/龙江,苏浙菜,8.433333333333334,南京,90
锦上雅集·山中的茶宴,徐庄软件园,淮扬菜,8.533333333333333,南京,457
同庆楼,建邺万达,南京/江浙菜,8.299999999999999,南京,122
卢大鲜鱼头捞饭,摄山,苏浙菜,8.966666666666667,南京,73
狮王府,南京国际博览中心/元通,淮扬菜,8.700000000000001,南京,144
宴·心 望湖餐厅,九龙湖,淮扬菜,9.1,南京,96
家宝风味馆,新街口地区,南京/江浙菜,8.6,南京,72
金鹰世界G酒店·品煨江南,应天大街/文体路,淮扬菜,8.633333333333333,南京,477
舒雅土菜馆,新街口地区,南京/江浙菜,7.466666666666666,南京,94
高淳老街土菜馆,中山步行街,南京菜,8.1,南京,79
暗恋桃花源,虹悦城,苏浙菜,8.566666666666668,南京,76
人全到饭店南京本帮菜,南大/南师大,南京/江浙菜,8.433333333333332,南京,67
鱼满楼,莫愁湖/水西门,南京/江浙菜,8.4,南京,87
花满树酒楼,夫子庙地区,淮扬菜,8.8,南京,132
真来斯肚煲鸡馆,紫荆广场/宜家,南京/江浙菜,7.900000000000001,南京,81
云几,仙林大学城,浙菜,8.533333333333333,南京,195
榕树下,雨润大街,淮扬菜,8.066666666666668,南京,215
高邮陈记饭店,凤凰西街,南京/江浙菜,8.1,南京,44
南京景枫万豪酒店·万豪中餐厅,百家湖,淮扬菜,9.166666666666666,南京,333
民国往事餐厅,夫子庙地区,南京/江浙菜,8.533333333333333,南京,90
中江书香世家酒店,新街口地区,苏浙菜,8.733333333333333,南京,95
高淳味道,高淳区中心城区,南京菜,8.4,南京,106
童福兴宴宾楼,南京国际博览中心/元通,淮扬菜,9.0,南京,164
燕皇小厨•剁椒鱼头,火车站/玄武湖,淮扬菜,8.766666666666667,南京,78
中山陵国际青年旅馆,紫金山/孝陵卫,南京/江浙菜,8.266666666666667,南京,128
味江东·锦禾,应天大街/文体路,淮扬菜,8.333333333333334,南京,374
好记大酒店,珠江路沿线,淮扬菜,8.833333333333334,南京,192
兰心荟,仙林大学城,淮扬菜,8.666666666666666,南京,91
传湌cān家小馆,新街口地区,淮扬菜,8.266666666666667,南京,82
江宴楼,夫子庙地区,淮扬菜,8.766666666666667,南京,292
乐和餐饮,火车站/玄武湖,南京/江浙菜,8.9,南京,132
朵悦精菜馆,奥体中心,南京/江浙菜,8.833333333333334,南京,154
瑭101,奥体中心,淮扬菜,8.733333333333333,南京,106
味庄,新街口地区,苏帮菜,8.633333333333333,南京,54
花迹生态空间,奥体中心,苏浙菜,8.0,南京,258
