商家名,商圈,类型,评分,城市,人均价格
天,津
假装苏杭·桂雨山房,和平路,苏浙菜,8.899999999999999,天津,116
乾园,和平路,苏浙菜,9.1,天津,81
苏帮袁Sue Cuisine,大悦城,淮扬菜,9.266666666666667,天津,125
玉玲珑,南开大学/八里台,上海本帮菜,9.133333333333333,天津,81
糖人街,滨江道,浙菜,8.966666666666667,天津,76
外婆家,大悦城,浙菜,8.4,天津,64
绿茶餐厅,和平路,浙菜,9.033333333333333,天津,68
南京大牌档,和平路,淮扬菜,9.1,天津,68
老丰阁品味上海,五大道,上海本帮菜,9.066666666666668,天津,272
温州雁蕩山老太婆饭店,狮子林大街,温州菜,7.933333333333333,天津,130
117花园别墅,五大道,上海本帮菜,8.933333333333332,天津,338
简坐,大悦城,上海本帮菜,9.2,天津,90
浙小调·精致江南菜,密云路,浙菜,9.066666666666668,天津,81
鼎泰丰,和平路,淮扬菜,9.1,天津,139
悦湖院,经济开发区,浙菜,9.066666666666666,天津,92
香浙宴,经济开发区,苏浙菜,8.966666666666667,天津,108
上海年代,天津站,上海本帮菜,9.033333333333333,天津,96
绍兴老菜,围堤道沿线,浙菜,7.599999999999999,天津,83
江南美食屋,围堤道沿线,苏浙菜,8.133333333333333,天津,65
三六三杭州菜,水上/天塔,浙菜,7.8,天津,123
弄堂小笼包,大悦城,上海本帮菜,9.066666666666666,天津,61
坛老大,小白楼,淮扬菜,8.633333333333333,天津,237
桃李春风江南宴,仁爱团泊湖,浙菜,8.533333333333333,天津,108
維揚春·本帮淮扬菜,梅江小区,淮扬菜,8.299999999999999,天津,139
石府生态菜,梅江会展中心,淮扬菜,8.666666666666666,天津,399
上海小南国,水上/天塔,上海本帮菜,8.633333333333333,天津,152
41·Home Restaurant 寒舍,五大道,苏浙菜,8.666666666666666,天津,312
江苏人家,时代奥城,淮扬菜,8.133333333333335,天津,131
水溪源,西横堤/瑞景新天地,浙菜,8.433333333333334,天津,66
近江月南菜酒楼,天佑城/西南角,苏浙菜,8.4,天津,88
杭州阿英煲,水上/天塔,浙菜,8.066666666666666,天津,92
鼎盛轩淮扬菜,水上/天塔,淮扬菜,8.666666666666666,天津,166
姑蘇悅色,南开大学/八里台,淮扬菜,7.5,天津,0
醉江南小绍兴酒馆,北仓,浙菜,8.133333333333335,天津,122
零伍食府,五大道,苏浙菜,8.200000000000001,天津,255
蘇友汇食府,南开大学/八里台,淮扬菜,8.033333333333333,天津,90
缪记小馆,滨海新区,上海本帮菜,8.633333333333335,天津,53
刘家往事饭店,北辰区,苏浙菜,7.766666666666667,天津,76
状元楼酒店,密云路,苏浙菜,7.633333333333333,天津,110
宁海故里,王串场/民权门,浙菜,8.033333333333333,天津,170
雲鼎世家生态菜,华苑科技园,淮扬菜,8.1,天津,247
寜波小馆,华苑科技园,浙菜,7.7,天津,114
抖厨御味·淮扬菜,中北镇,淮扬菜,7.733333333333333,天津,114
姑奶奶厨坊,泉州路/广厦道,苏浙菜,6.933333333333334,天津,67
紫茗远播·普洱茶·精致餐饮,空港经济区,淮扬菜,7.466666666666666,天津,214
味尚小镇,西青区,淮扬菜,7.666666666666667,天津,80
05公馆,五大道,苏浙菜,7.333333333333333,天津,291
苏闽菜馆,鞍山道沿线,苏浙菜,5.933333333333333,天津,49
温州农家菜,梅江会展中心,温州菜,7.2,天津,0
华府江南菜,塘沽城区,上海本帮菜,7.466666666666666,天津,0
钱塘人家·佛跳墙鱼头,华明镇,浙菜,7.433333333333334,天津,80
泰德楼八大碗,蓟县县城/国家地质公园,淮扬菜,7.400000000000001,天津,0
稻福轩米线馆,新村,苏浙菜,7.766666666666666,天津,21
淮雅阁江浙菜,张家窝,苏浙菜,7.366666666666667,天津,0
和记海参菜馆,泰达MSD,苏浙菜,7.433333333333334,天津,428
一品轩精品餐厅,经济开发区,淮扬菜,7.633333333333333,天津,290
阿双温州饭店,塘沽工农村,温州菜,7.033333333333334,天津,0
宁波海鲜大排档,富力桃园,浙菜,7.033333333333334,天津,0
喜顺饭店,塘沽工农村,苏浙菜,7.133333333333333,天津,0
浙味坊,凌奥,温州菜,7.2,天津,0
静海人家本帮菜,东城,上海本帮菜,7.166666666666667,天津,48
老邻居饭店,中山门,苏浙菜,7.366666666666667,天津,0
利君饭店,河西务,苏浙菜,7.133333333333333,天津,0
华莎大酒楼,小海地,苏浙菜,7.133333333333333,天津,48
钱记食府,大王庄,苏浙菜,7.533333333333334,天津,0
江南食府,海光寺/六里台,苏浙菜,7.199999999999999,天津,28
九妹斑鱼庄,蓟县县城/国家地质公园,苏浙菜,6.866666666666667,天津,70
国宴淮扬,汉沽城区,苏浙菜,7.0,天津,111
凯德大酒店中餐厅,天津站,苏浙菜,6.833333333333333,天津,124
嘚咂味煲店,南开大学,苏浙菜,7.633333333333333,天津,48
御河渔村,北仓,苏浙菜,7.2,天津,0
翟记饭店,京津时尚广场/邮局,苏浙菜,7.2,天津,37
跃旺饭店,河西务,苏浙菜,7.066666666666666,天津,40
家的味道,大毕庄,苏浙菜,6.900000000000001,天津,0
独流饭店,西城,苏浙菜,7.2,天津,0
乐乐菜馆,白堤路/风荷园,苏浙菜,7.033333333333334,天津,0
西溪印象,商业道,浙菜,7.466666666666666,天津,58
猛龙饭店,蓟州区其他,苏浙菜,7.3,天津,0
九龍轩,北闸口镇,浙菜,7.166666666666667,天津,56
华师傅菜馆,华苑科技园,苏浙菜,7.333333333333333,天津,35
淮阳楼,经济开发区,苏浙菜,0.0,天津,0
翠花菜馆,大港油田,苏浙菜,7.0,天津,0
江南轩,经济开发区,苏浙菜,6.966666666666666,天津,0
朝鲜小菜,西康路沿线,上海本帮菜,7.066666666666666,天津,0
江南碗面,开发区乐购,上海本帮菜,7.533333333333334,天津,16
银河饭店,宜兴埠,苏浙菜,7.2,天津,0
君和升,宜兴埠,苏浙菜,7.099999999999999,天津,0
淮雅居江浙菜,西青区,淮扬菜,7.0,天津,0
四季兴饭店,蓟州区其他,苏浙菜,7.3,天津,0
江南阁,武清区,苏浙菜,6.966666666666666,天津,0
