商家名,商圈,类型,评分,城市,人均价格
广,州
南京大牌档,江南大道沿线,南京菜,8.766666666666667,广州,67
三秋桂子,珠江新城,浙菜,8.6,广州,98
苏堂阳春面·八只大闸蟹一碗面,北京路,苏浙菜,8.033333333333333,广州,63
外婆家,天河城/体育中心,浙菜,8.0,广州,60
绿茶餐厅,天河城/体育中心,浙菜,7.466666666666666,广州,65
江南厨子,珠江新城,苏浙菜,8.566666666666666,广州,167
龙井湖,西村/西场,浙菜,7.333333333333333,广州,63
十里弄堂,珠江新城,淮扬菜,8.566666666666668,广州,182
金牌外婆家,天河城/体育中心,浙菜,8.333333333333334,广州,87
宴江南,高德置地/花城汇,苏浙菜,8.166666666666666,广州,101
钦差大臣·江浙菜品,兴盛路/跑马场,浙菜,8.4,广州,74
西湖公馆,环市东路/区庄,苏浙菜,8.666666666666666,广州,117
浙家味道,天河公园,浙菜,8.233333333333334,广州,141
翡翠拉面小笼包CRYSTAL JADE,天河城/体育中心,本帮江浙菜,7.400000000000001,广州,83
流金岁月,天河北,本帮江浙菜,8.033333333333333,广州,131
虎跑龙井,天河北,浙菜,7.8,广州,76
杭杭的菜,萝岗万达广场,浙菜,7.666666666666667,广州,82
摩能肉蟹煲,中山二三路/东山口,苏浙菜,8.433333333333334,广州,82
半岛蘇浙馆,沿江路/二沙岛,浙菜,6.933333333333334,广州,210
绍兴老酒坊,车陂/东圃,浙菜,7.566666666666666,广州,97
听湖山居饭店,良口镇,苏浙菜,7.366666666666667,广州,70
荟立小厨·茶艺简餐,沿江路/二沙岛,温州菜,7.266666666666667,广州,84
茂名脆皮狗肉羊肉火锅,白云大道,苏浙菜,7.099999999999999,广州,0
唐宋绍兴老酒坊·私房菜,棠下,浙菜,7.333333333333333,广州,0
温州人,棠下,温州菜,7.033333333333334,广州,0
饭菜好湘,员村,浙菜,7.133333333333333,广州,56
六千馆,新世纪广场,苏浙菜,7.5,广州,59
杜记饭店,南沙区,苏浙菜,7.333333333333333,广州,63
星际酒店·中餐厅,钟落潭,浙菜,6.933333333333334,广州,78
阿四蟹行,越秀公园,浙菜,7.400000000000001,广州,0
苏浙汇,白云国际机场,本帮江浙菜,7.2,广州,72
雷州龙门羊肉煲店,新市,苏浙菜,6.900000000000001,广州,0
十加炭烤吧,天河公园,浙菜,7.400000000000001,广州,0
高姐羊庄,永和镇,苏浙菜,7.0,广州,40
温府家宴,喜立登饮食风情街,温州菜,7.333333333333333,广州,0
淦恒昌唐莊美食店,上下九商业区,苏浙菜,7.233333333333333,广州,75
爱民饭店,温泉镇,苏浙菜,7.3,广州,0
明菜馆,西村/西场,苏浙菜,6.966666666666666,广州,31
林家铺子,东晓南,苏浙菜,6.866666666666667,广州,0
为食街,嘉禾/人和,温州菜,6.866666666666667,广州,0
桃源山庄,大学城,苏浙菜,6.900000000000001,广州,0
土灶柴火鸡柴火鱼,嘉禾/人和,苏浙菜,7.0,广州,0
文记饭店,黄边,苏浙菜,7.0,广州,0
英姐饭店,从化区,苏浙菜,7.166666666666667,广州,39
光头佬美食楼,三元里,温州菜,6.833333333333333,广州,50
温州水头家乡菜,三元里,苏浙菜,6.900000000000001,广州,45
复兴饭店,北京路商业区,苏浙菜,7.066666666666666,广州,0
醉仙居,嘉禾/人和,苏浙菜,7.033333333333334,广州,53
沙头能酒家·温州菜,新港西路沿线,温州菜,0.0,广州,0
顺景饭店,钟村,苏浙菜,6.900000000000001,广州,0
富豪烧鸡王,太和镇,温州菜,7.300000000000001,广州,53
兴荣菜馆,天河公园/上社,苏浙菜,6.933333333333334,广州,0
埔乡源饭店,从化区,苏浙菜,7.066666666666666,广州,0
好知味,桥南,苏浙菜,6.900000000000001,广州,0
鳌头老字号球记饭店,鳌头/旗杆,苏浙菜,6.900000000000001,广州,0
桥兴饭店,石碁,苏浙菜,6.866666666666667,广州,0
RING大叔的精品饭堂,科学城/萝岗高德汇,本帮江浙菜,6.966666666666666,广州,0
温州人家,新港西路沿线,温州菜,7.0,广州,0
杭州土菜馆,花山,浙菜,7.033333333333334,广州,0
盆菜,江南大道,本帮江浙菜,6.900000000000001,广州,0
春晖膳房,江南西,苏浙菜,7.2,广州,0
御膳房饭店,狮岭,苏浙菜,6.933333333333334,广州,0
广园饭店,荔城,苏浙菜,6.966666666666666,广州,0
旺利饭店,番禺区,苏浙菜,7.066666666666666,广州,0
桂柳知味馆,新市,淮扬菜,7.066666666666666,广州,0
湛江羊庄,黄石,苏浙菜,7.066666666666666,广州,46
锦鲜饭店,南村,苏浙菜,6.900000000000001,广州,0
锋记饭店,永和镇,苏浙菜,6.900000000000001,广州,0
左邻右舍.虾殿,华汇广场,浙菜,6.900000000000001,广州,0
永胜酒楼,永和镇,浙菜,7.099999999999999,广州,0
南苑餐厅,增城区,淮扬菜,6.633333333333333,广州,0
立交饭店,黄村/奥体,苏浙菜,6.366666666666667,广州,0
油盐酱醋,中山六路,苏浙菜,6.900000000000001,广州,0
第一职工食堂,长洲岛,本帮江浙菜,7.0,广州,0
老地方菜馆,火车站/人民北路,苏浙菜,7.2,广州,0
辉好饭店,花都区,苏浙菜,7.166666666666667,广州,0
东升饭店,花东,南京菜,6.900000000000001,广州,0
三爷饭店,黄埔区,苏浙菜,6.933333333333333,广州,0
味香麻辣锅,石牌/百脑汇,浙菜,6.900000000000001,广州,0
温州光头大厨,中山六路,苏浙菜,6.900000000000001,广州,0
华记饭店,车陂/东圃,苏浙菜,6.900000000000001,广州,0
烧鹅佬饭店,荔湾区,苏浙菜,6.866666666666667,广州,0
湛江鸡饭店,大石,苏浙菜,7.099999999999999,广州,0
福记饭店,太和镇,苏浙菜,6.966666666666666,广州,0
汤村饭店,黄埔区,苏浙菜,6.900000000000001,广州,0
乐氏传奇工厂,新塘,苏浙菜,7.066666666666666,广州,0
食缘饭店,龙洞/岑村,苏浙菜,6.933333333333334,广州,0
佰满堂饭店,白云国际机场,苏浙菜,7.066666666666666,广州,0
满菜馆,天河北,浙菜,6.966666666666666,广州,0
朝阳饭店,长洲岛,苏浙菜,6.800000000000001,广州,16
同福酒楼,同德围,苏浙菜,6.733333333333333,广州,37
江南菜馆,花都区,苏浙菜,6.766666666666667,广州,46
沙贝饭店,罗冲围/金沙洲,苏浙菜,0.0,广州,0
冰姐盆菜,东晓南路沿线,本帮江浙菜,6.966666666666666,广州,0
川湘缘饭店,广州南站,苏浙菜,7.0,广州,46
食得乐,番禺广场,淮扬菜,6.900000000000001,广州,0
广源饭店,同和/京溪,淮扬菜,6.866666666666667,广州,0
肥婆饭店,钟村,苏浙菜,6.933333333333334,广州,0
天院好聚来饭店,太和镇,苏浙菜,7.0,广州,0
将军饭店,番禺区,苏浙菜,6.900000000000001,广州,0
宋·川菜,珠江新城,川菜馆,8.799999999999999,广州,251
榕意·川味之美,天河城/体育中心,川菜馆,9.066666666666666,广州,110
川府尹·四川会馆,珠江新城,川菜馆,8.6,广州,170
二虎·麻辣水煮牛肉,客村/赤岗,川菜馆,8.466666666666667,广州,76
阿强家酸菜鱼,天河城/体育中心,酸菜鱼/水煮鱼,9.066666666666666,广州,95
天成川小馆,珠江新城,酸菜鱼/水煮鱼,8.433333333333332,广州,89
铁公鸡·川味农家乐,天河城/体育中心,川菜馆,8.033333333333333,广州,111
三只猫老坛子酸菜鱼,江南大道,酸菜鱼/水煮鱼,8.3,广州,62
曹疯子极致烤鱼,天河城/体育中心,烤鱼,8.299999999999999,广州,58
一溪月川菜小酒馆,白云绿地中心,川菜馆,8.533333333333333,广州,84
禄鼎记·多口味酸菜鱼,江南西,川菜馆,8.666666666666666,广州,100
重庆大厦员工食堂,区庄/动物园,川菜馆,7.133333333333333,广州,47
探鱼,天河城/体育中心,烤鱼,8.466666666666667,广州,93
太二酸菜鱼,天河城/体育中心,酸菜鱼/水煮鱼,8.866666666666667,广州,85
桃花浅浅·江湖菜酸菜鱼,天河城/体育中心,川菜馆,8.566666666666666,广州,70
川隈杂谈,环市东路/区庄,川菜馆,8.9,广州,97
江湖麻小小·小龙虾·川菜,西城都荟,川菜馆,8.533333333333333,广州,105
十里青丘小酒馆.古风网红酒馆,天河城/体育中心,川菜馆,8.2,广州,72
小原·轻奢私厨,天河城/体育中心,川菜馆,8.700000000000001,广州,231
淘蛙,萝岗万达广场,干锅/香锅,8.2,广州,85
川国演义,珠江新城,川菜馆,8.833333333333334,广州,93
四喜 Say Hey,珠江新城,川菜馆,8.366666666666667,广州,200
花涧270°江景露台餐厅,洛溪,川菜馆,8.466666666666667,广州,119
品蜀国·精品川菜,萝岗万达广场,川菜馆,7.8999999999999995,广州,73
从前的小酒馆,天河城/体育中心,川菜馆,7.766666666666666,广州,76
旭东哥炒鸡,高德置地/花城汇,川菜馆,8.666666666666666,广州,82
清漫·派对餐吧,琶洲,川菜馆,8.266666666666667,广州,117
新渝城·臻选川菜,珠江新城,川菜馆,8.200000000000001,广州,115
蓉鱼,江南大道,川菜馆,8.4,广州,66
巴辣巴辣成都大牌档,番禺广场,川菜馆,8.133333333333333,广州,71
川街小巷,江南大道,酸菜鱼/水煮鱼,8.633333333333333,广州,77
蛙小侠 ,石牌/龙口,干锅/香锅,8.366666666666665,广州,77
鼎盛蜀坊·重庆江湖菜,中山二三路/东山口,川菜馆,8.2,广州,84
撒椒,天河城/体育中心,川菜馆,8.3,广州,90
江渔儿酸菜鱼,北京路商业区,酸菜鱼/水煮鱼,7.8,广州,63
隴妍川菜,嘉禾/人和,川菜馆,8.466666666666667,广州,93
胡桃里音乐酒馆,客村/赤岗,川菜馆,8.366666666666665,广州,108
小红牛香辣虾火锅,中山七八路,干锅/香锅,8.500000000000002,广州,96
川里谈·可以喝汤的酸菜鱼,北京路商业区,酸菜鱼/水煮鱼,7.533333333333334,广州,78
炉鱼,兴盛路/跑马场,烤鱼,8.5,广州,75
时光与你音乐餐馆,客村/赤岗,川菜馆,8.299999999999999,广州,72
品蜀国·臻品川小馆,车陂/东圃,川菜馆,8.333333333333334,广州,59
太鲨小份烤鱼,天河城/体育中心,烤鱼,7.900000000000001,广州,32
幸福驿站小酒馆,天河城/体育中心,川菜馆,8.4,广州,82
鱼不冷·比酸菜鱼好吃,天河城/体育中心,川菜馆,6.7,广州,40
川香鼎盛,市桥,川菜馆,8.366666666666667,广州,84
蓉悦·精品川菜,珠江新城,川菜馆,8.133333333333333,广州,126
胡桃里,五羊新城,川菜馆,8.066666666666666,广州,128
蓉城川味,上下九,川菜馆,7.633333333333333,广州,47
陆小凤四川料理,北京路,川菜馆,7.666666666666667,广州,80
斗椒,北京路,川菜馆,8.233333333333333,广州,80
饭菜真香,天河城/体育中心,酸菜鱼/水煮鱼,8.333333333333334,广州,58
首秀四川料理,琶洲,川菜馆,8.366666666666667,广州,82
豫江南,天河客运站,川菜馆,8.0,广州,47
拾椒·酸菜鱼,珠江新城,酸菜鱼/水煮鱼,8.033333333333333,广州,57
阿强酸菜鱼,北京路,酸菜鱼/水煮鱼,7.3,广州,70
鱼来顺纸上烤鱼,江南西,烤鱼,8.233333333333334,广州,54
红城川菜·二十年老字号,中山七八路,川菜馆,7.3,广州,64
茈渔·有招牌烤鱼牛蛙,北京路商业区,烤鱼,7.033333333333334,广州,85
去华哥家的小馆,江南大道,酸菜鱼/水煮鱼,8.600000000000001,广州,66
愿者上钩,天河城/体育中心,烤鱼,7.666666666666667,广州,63
水煮鱼乡,环市东路/区庄,酸菜鱼/水煮鱼,8.1,广州,109
花椒燚酸菜鱼,江南大道,酸菜鱼/水煮鱼,7.933333333333333,广州,70
太囧老坛酸菜鱼有范店,中山二三路/东山口,酸菜鱼/水煮鱼,8.299999999999999,广州,68
鱼在小酒馆,江南大道,酸菜鱼/水煮鱼,8.0,广州,64
川味空间,燕岭/五山,川菜馆,8.066666666666665,广州,71
喜跃蛙·现烧鲜牛蛙,黄石,干锅/香锅,7.6000000000000005,广州,72
鼎盛蜀坊,市桥,川菜馆,8.566666666666668,广州,80
煲师傅•鸡牛羊煲,石牌/龙口,川菜馆,8.133333333333333,广州,48
山城故事·川湘菜,天河北,川菜馆,8.166666666666666,广州,69
江湖情酸菜鱼,天河城/体育中心,酸菜鱼/水煮鱼,8.166666666666666,广州,76
往后余生川菜小馆,江埔,川菜馆,9.0,广州,58
何记香辣跳跳蛙,麓湖公园,川菜馆,7.866666666666667,广州,76
探炉烤鱼,西村/西场,烤鱼,7.3,广州,70
小阁楼·四川地道菜,南村,川菜馆,7.933333333333334,广州,57
缪氏川菜,南村,川菜馆,8.666666666666666,广州,65
老渔夫酸菜鱼专门店,北京路,酸菜鱼/水煮鱼,7.666666666666667,广州,63
知食分子厨艺坊,龙洞/岑村,川菜馆,7.833333333333333,广州,36
钱掌门·小份烤鱼,石牌/龙口,烤鱼,8.333333333333334,广州,21
玖六年四川菜,江南西,川菜馆,8.0,广州,55
醉忆·新派重庆菜,车陂/东圃,川菜馆,8.633333333333333,广州,91
琶醍一号PIER ONE LOUNGE BAR,琶洲,川菜馆,7.433333333333334,广州,119
川妹子·江小鱼老坛酸菜鱼,天河城/体育中心,酸菜鱼/水煮鱼,6.8999999999999995,广州,59
红火干锅冒菜,天河城/体育中心,干锅/香锅,8.2,广州,29
惠食佳,滨江路,粤菜馆,8.5,广州,174
常来小聚,珠江新城,广州菜,8.433333333333332,广州,77
毕德寮,珠江新城,粤式茶点,8.833333333333332,广州,107
啫八,滨江路,粤菜馆,8.366666666666667,广州,136
禄运茶居,天河城/体育中心,粤式茶点,8.433333333333332,广州,68
炳胜品味,珠江新城,粤菜馆,8.3,广州,195
大鸽饭·岭南家院,北京路,粤菜馆,9.133333333333333,广州,82
陶陶居酒家,天河城/体育中心,粤菜馆,8.666666666666666,广州,106
木棉·醉心粤味,花城汇/高德置地,广州菜,7.866666666666667,广州,119
点都德,钟村,粤式茶点,9.033333333333333,广州,97
白天鹅宾馆·玉堂春暖餐厅,沙面,粤菜馆,9.133333333333333,广州,436
撚手食堂·传统粤菜,天河北,广州菜,8.733333333333333,广州,71
常来大牌档,珠江新城,广州菜,8.133333333333333,广州,70
丘大6仔记餐厅,滨江路,粤菜馆,7.666666666666667,广州,64
蔡澜港式点心,天河城/体育中心,粤式茶点,8.633333333333333,广州,81
粤集·粤菜正牌,长隆,粤菜馆,8.633333333333333,广州,90
富临食府,北京路商业区,粤菜馆,7.3,广州,76
海门鱼仔店·潮汕味,珠江新城,潮汕菜,8.299999999999999,广州,130
點满籠·传承港式点心,天河城/体育中心,粤式茶点,8.033333333333333,广州,73
表哥好味鹅·首创鲍鱼鸡,长隆/南村,粤菜馆,8.200000000000001,广州,138
北园酒家,越秀公园,粤菜馆,8.200000000000001,广州,143
雅苑餐厅,中山六路,广州菜,7.433333333333334,广州,151
滋粥楼,南村,顺德菜,8.933333333333334,广州,146
劲揪大排档,中山七八路,粤菜馆,7.033333333333334,广州,84
小炳胜,天河城/体育中心,粤菜馆,8.4,广州,118
永兴烧腊,上下九商业区,烧腊,8.566666666666666,广州,61
泮溪酒家,中山七八路,粤菜馆,7.8999999999999995,广州,94
翅叔港式酒家·鱼翅专门店,北京路,广州菜,8.4,广州,141
永利飯店,沿江路/二沙岛,粤菜馆,7.833333333333333,广州,95
向群,中山七八路,广州菜,7.566666666666667,广州,80
美荣粉店,北京路商业区,广州菜,6.900000000000001,广州,53
大同酒家老字号粤菜,天河北/广州东站,广州菜,8.133333333333333,广州,78
向群饭店,中山七八路,粤菜馆,7.166666666666667,广州,75
白天鹅宾馆·宏图府餐厅,沙面,粤式茶点,8.966666666666667,广州,243
九龙茶楼冰室,工业大道,粤式茶点,7.566666666666666,广州,38
御宝轩,珠江新城,粤菜馆,8.9,广州,378
小查楼•摩登粤菜,江南西,广州菜,8.299999999999999,广州,69
甜甜屋,中山六路,广州菜,7.733333333333333,广州,45
新兴饭店·百年羊肉煲,江南大道沿线,广州菜,7.400000000000001,广州,110
丽的面家,上下九,粤菜馆,8.166666666666666,广州,42
