商家名,商圈,类型,评分,城市,人均价格
杭,州
火炉家烤肉,万达广场,融合烤肉,8.966666666666667,杭州,102
袁家水泊·水浒烤肉,三墩镇,融合烤肉,8.733333333333333,杭州,79
猎户食集·烤肉船,湖滨,韩式烤肉,8.533333333333333,杭州,90
炭烧坊,老广场,韩式烤肉,9.0,杭州,78
齐齐哈尔碳烤肉,庆春路沿线,融合烤肉,8.366666666666665,杭州,95
洪涛烤肉老北京火锅,拱宸桥/上塘,融合烤肉,8.4,杭州,85
鲁班烤肉,临平,融合烤肉,7.433333333333334,杭州,0
水浒烤肉,丁桥,融合烤肉,8.266666666666667,杭州,83
静攀和牛烤肉,海创园,融合烤肉,8.933333333333334,杭州,285
炉子旁烤肉,滨江宝龙城,韩式烤肉,8.4,杭州,91
海囧水煎肉,海创园,韩式烤肉,8.333333333333334,杭州,68
牛牛兄弟炭烤鲜牛肉,高新文教区,融合烤肉,7.8999999999999995,杭州,68
滋味堂烤肉,三墩镇,韩式烤肉,8.966666666666667,杭州,90
炭火星球·融合烤肉,城东,融合烤肉,8.200000000000001,杭州,104
大浪炭火鲜牛肉酒场,开发区/高教园,融合烤肉,8.0,杭州,83
韩江道木炭烤肉,滨江宝龙城,韩式烤肉,8.200000000000001,杭州,104
炭之家大片烤肉,城东,融合烤肉,8.533333333333333,杭州,90
二烧@碳烤鲜牛肉,古墩路沿线,融合烤肉,8.233333333333334,杭州,74
阿泽西韩国料理,临平,韩式烤肉,8.133333333333333,杭州,89
韩村创意烤肉,城东,韩式烤肉,7.833333333333333,杭州,79
齐齐哈尔兄弟烤肉东北农家菜,下沙,融合烤肉,8.633333333333335,杭州,73
吴矢烧烤韩国料理,转塘,韩式烤肉,8.966666666666667,杭州,90
侍肉师,老广场,融合烤肉,8.566666666666666,杭州,84
牛小花·秘制炭火烤牛肉,明珠花园,融合烤肉,8.366666666666667,杭州,90
高烤·炭烤鲜牛肉,万达广场,融合烤肉,8.433333333333334,杭州,65
鞑子烤羊腿,高新文教区,融合烤肉,8.3,杭州,102
金三羊烤全羊,古墩路沿线,融合烤肉,8.333333333333334,杭州,100
717碳烤·烤肉屋,海创园,韩式烤肉,8.366666666666667,杭州,62
幺妹云南烧烤,下沙,融合烤肉,7.766666666666666,杭州,66
品回味清真西北菜餐厅,吴山广场/河坊街,西北民间菜,8.933333333333334,杭州,78
101茶餐厅,大关,台湾菜,9.166666666666666,杭州,52
胡集酒肆·唐潮西域菜,高新文教区,西北民间菜,8.799999999999999,杭州,92
荣先森·闽南菜,北大桥/大悦城,福建菜,9.033333333333333,杭州,97
城南往事,钱江新城/四季青,鲁菜,8.799999999999999,杭州,161
台宴·新派台菜,钱江新城/四季青,台湾菜,8.200000000000001,杭州,305
四道菜·福建菜,古墩路沿线,福建菜,8.366666666666667,杭州,73
疆小羊,西湖北线/黄龙,西北民间菜,9.1,杭州,86
大牙贵州烙锅,开发区/高教园,贵州菜|黔菜,8.066666666666668,杭州,62
艋舺灣岸食肆台灣精緻料理,西湖文化广场,台湾菜,8.633333333333333,杭州,150
假鬼假怪,西湖北线/黄龙,台湾菜,8.933333333333332,杭州,61
大鱼徽州,高新文教区,徽菜,8.833333333333334,杭州,75
蒙古长调·蒙古餐厅,古墩路沿线,内蒙菜,8.5,杭州,89
德吉蒙古餐厅,西城广场,内蒙菜,8.633333333333333,杭州,108
西贝莜面村,钱江新城/四季青,西北民间菜,9.133333333333333,杭州,105
WIND台湾胡椒虾,开发区/高教园,台湾菜,8.733333333333334,杭州,106
徽州宴,宝龙城市广场,徽菜,8.666666666666666,杭州,89
六盘水黄牛馆,首尔印象,贵州菜|黔菜,8.4,杭州,82
闽龙王福建料理,浙一医院/庆春路沿线,福建菜,8.033333333333333,杭州,88
正宗贵州烙锅丝娃娃,下沙,贵州菜|黔菜,7.833333333333333,杭州,78
清真·西北家宴,高新文教区,西北民间菜,8.6,杭州,72
贵州烙锅,古墩路沿线,贵州菜|黔菜,8.200000000000001,杭州,57
三分银正宗贵州菜,高新文教区,贵州菜|黔菜,8.166666666666666,杭州,68
贵之恋贵州羊肉粉·火锅·小吃,开发区/高教园,贵州菜|黔菜,8.433333333333332,杭州,33
咖水水·厦门美食,开发区/高教园,福建菜,8.533333333333333,杭州,43
程氏味府.土徽菜.衢州菜,三墩镇,徽菜,8.8,杭州,71
自留田西北菜,老余杭,西北民间菜,8.1,杭州,66
Alali阿拉礼·新疆家宴,古荡,西北民间菜,8.533333333333333,杭州,79
野之苹·新蒙创意风味,宋城,西北民间菜,7.166666666666667,杭州,83
遇疆煵·品味新疆特色美食,西溪印象城,西北民间菜,8.0,杭州,44
端着吃陕西食宴,高新文教区,陕菜,8.166666666666668,杭州,30
小菜园新徽菜,下沙,徽菜,7.900000000000001,杭州,80
古古麦有饭吃,野生动物园,西北民间菜,8.2,杭州,89
陇上秦轩·西北菜西北小吃,吴山广场/河坊街,西北民间菜,8.299999999999999,杭州,54
苗小坛酸汤鱼·捞饭,武林广场,贵州菜|黔菜,8.2,杭州,39
安庆府,城东,徽菜,8.633333333333335,杭州,166
中国凉都黄牛肉馆,九堡,贵州菜|黔菜,8.266666666666666,杭州,69
过路人饭团,凤起路沿线,台湾菜,8.6,杭州,11
徽商故里,高新文教区,徽菜,8.366666666666667,杭州,123
清真·戈壁滩手抓饭·拌面,高新文教区,西北民间菜,8.5,杭州,35
贵州烙锅丝娃娃,九堡新天地文化创意园,贵州菜|黔菜,6.966666666666666,杭州,0
老五地锅大排档·地锅鸡,转塘,徽菜,7.066666666666667,杭州,0
小辣雍正宗贵州锅烙,北干,贵州菜|黔菜,7.366666666666667,杭州,68
新西北人家,吴山广场/河坊街,西北民间菜,7.6000000000000005,杭州,41
一茶一坐台式料理,西湖北线/黄龙,台湾菜,7.599999999999999,杭州,70
蒙古文化特色餐厅,和达东东城,内蒙菜,8.333333333333334,杭州,90
馍家,开发区/高教园,西北民间菜,8.266666666666667,杭州,25
清真·撒拉人家西湖食阁汇餐厅,凤起路沿线,西北民间菜,7.733333333333333,杭州,57
剪花娘子.凉皮.肉夹馍,城东,陕菜,7.533333333333334,杭州,34
醉美贵州烙锅腊猪脚火锅,下沙,贵州菜|黔菜,8.200000000000001,杭州,48
衢城三头一掌,青山,徽菜,7.033333333333334,杭州,0
牛八件黄牛馆,开发区/高教园,西北民间菜,7.3999999999999995,杭州,37
夜宴炒鸡店·烧烤·小龙虾,城东,鲁菜,7.466666666666666,杭州,78
台湾逢甲夜市大肠包小肠,凤起路沿线,台湾菜,7.633333333333333,杭州,17
贵州六盘水黄牛馆,文教北路沿线,贵州菜|黔菜,7.766666666666667,杭州,78
炑羊香烤全羊,五常,西北民间菜,7.933333333333333,杭州,207
煜北·西北小馆,下沙,西北民间菜,8.966666666666667,杭州,19
在西安,下沙,西北民间菜,8.1,杭州,18
南昌瓦罐汤,开发区/高教园,江西菜,7.2,杭州,0
阿丑烙锅,通惠路沿线,贵州菜|黔菜,7.0,杭州,63
一家小玖佰,大润发商贸城,徽菜,7.2,杭州,72
湖北人家土菜馆,开发区/高教园,湖北菜,7.466666666666666,杭州,51
秦怀陕西美食,城东,陕菜,7.7,杭州,22
陕老顺肉夹馍·油泼面,开发区/高教园,陕菜,7.599999999999999,杭州,18
梦徽楼,万达广场,徽菜,7.533333333333334,杭州,92
贵州活油烙锅,下沙,贵州菜|黔菜,7.5,杭州,61
好缘台湾小吃,城东,台湾菜,7.033333333333334,杭州,39
安徽料理,大关,徽菜,7.400000000000001,杭州,21
端着吃陕西手工美食,灵隐/白乐桥,陕菜,7.733333333333333,杭州,28
大行者昌化溪名邸别墅李家私房菜,昌化镇,徽菜,8.0,杭州,102
坛里壹罐,和达东东城,江西菜,7.366666666666667,杭州,0
传奇蒙古风情园,老余杭,内蒙菜,7.366666666666667,杭州,0
老西安,浙一医院/庆春路沿线,陕菜,7.066666666666666,杭州,24
忆陕昔,高新文教区,陕菜,7.466666666666666,杭州,20
排岭记忆,开发区/高教园,鲁菜,7.033333333333334,杭州,0
羊坝头清真小吃店,高新文教区,西北民间菜,7.099999999999999,杭州,23
老表家宴·江西土家味儿,城东,江西菜,7.133333333333333,杭州,96
老陕西面馆,市心北路,陕菜,7.433333333333333,杭州,19
老萧徽菜馆,北干,徽菜,7.533333333333334,杭州,69
台北街头·精选沙茶饭,开发区/高教园,台湾菜,7.633333333333333,杭州,23
皖北地锅鸡,三墩镇,徽菜,7.3999999999999995,杭州,66
醉秦朝,丁桥,陕菜,7.7,杭州,21
皖乡村地锅鸡,闲林,徽菜,7.2,杭州,0
老西安面馆,凤起路沿线,西北民间菜,7.466666666666666,杭州,13
贵州牛一锅,石祥路/沈半沿线,贵州菜|黔菜,7.366666666666667,杭州,175
偶遇韩生,临平,江西菜,7.3,杭州,101
会宾楼,小和山,福建菜,7.400000000000001,杭州,79
清真小吃周记蘭之源西北风味,城东,西北民间菜,7.466666666666666,杭州,0
赣江人家,金桥北路/国道,江西菜,7.400000000000001,杭州,0
徽馆,市心北路,徽菜,7.266666666666667,杭州,86
皖北大灶台·地锅鸡,海创园,徽菜,7.266666666666667,杭州,64
千岛湖芹川古民居,千岛湖水下古城,西北民间菜,7.3,杭州,0
徽味庄,开发区/高教园,徽菜,7.233333333333333,杭州,0
新凯里酸汤鱼,城东,贵州菜|黔菜,6.900000000000001,杭州,0
淮河饭店,北干,徽菜,7.099999999999999,杭州,0
秦食纪,老余杭,陕菜,7.333333333333333,杭州,0
鹿港小镇,下沙,台湾菜,6.900000000000001,杭州,0
曹记瓦罐,高新文教区,江西菜,7.233333333333333,杭州,17
仲三精选,钱江新城/四季青,鲁菜,7.2,杭州,0
安徽淮南黄牛牛肉汤,国际机场,徽菜,7.266666666666667,杭州,16
