商家名,商圈,类型,评分,城市,人均价格
武,汉
南京大牌档,江汉路步行街,南京菜,8.866666666666667,武汉,60
外婆家,楚河汉街,浙菜,8.066666666666668,武汉,60
董小婉,江汉路步行街,苏浙菜,9.1,武汉,67
绿茶餐厅,光谷/鲁巷,浙菜,8.799999999999999,武汉,68
上海小南国,解放公园/武汉天地,本帮江浙菜,8.466666666666667,武汉,164
猴子特色菜馆,王家湾,苏浙菜,7.466666666666666,武汉,0
橘味餐厅,徐东大街,苏浙菜,8.366666666666665,武汉,65
游宴一品淮扬餐厅,水果湖,淮扬菜,8.6,武汉,343
江南小厨房,常青花园,浙菜,8.033333333333333,武汉,62
珈境餐厅,西北湖,苏浙菜,8.666666666666666,武汉,140
四季羊肉馆,余家头/四美塘,苏浙菜,7.099999999999999,武汉,0
上海人家餐厅,硚口路,本帮江浙菜,8.233333333333334,武汉,131
醉得意,广埠屯,苏浙菜,7.7,武汉,46
盐商府,吉庆街/大智路,苏浙菜,7.433333333333334,武汉,123
肉满多羊肉粉,港澳台风情街,苏浙菜,7.566666666666666,武汉,19
四季恋餐厅,常青花园,苏浙菜,7.8999999999999995,武汉,76
闲云阁,徐东大街,苏浙菜,7.333333333333333,武汉,225
九九园私房菜馆,汉阳大道,苏浙菜,7.6000000000000005,武汉,58
香吧岛·藏书羊肉阿凡提烧烤,司门口,苏浙菜,7.633333333333333,武汉,74
周家大院,中南路,苏浙菜,7.333333333333333,武汉,99
出云,水果湖,浙菜,7.233333333333333,武汉,87
小是小老味菜馆,八大家/红钢城,苏浙菜,7.233333333333333,武汉,0
麗江饭店,中南路,苏浙菜,7.3,武汉,0
好百年饭店,六渡桥,苏浙菜,7.0,武汉,0
藏书羊肉,东湖高新技术开发区,苏浙菜,7.0,武汉,0
星际私厨,八大家/红钢城,本帮江浙菜,7.3,武汉,56
小酒小菜,石牌岭/街道口,本帮江浙菜,7.233333333333333,武汉,47
聚缘餐厅,光谷/鲁巷,苏浙菜,7.066666666666666,武汉,0
同学酒家,纸坊,苏浙菜,6.900000000000001,武汉,40
老地方酒家,新洲区,苏浙菜,7.0,武汉,0
八仙饭店,八大家/红钢城,苏浙菜,7.0,武汉,0
知味馆,钟家村,淮扬菜,6.900000000000001,武汉,0
艺江南,光谷/鲁巷,苏浙菜,7.0,武汉,0
