商家名,商圈,类型,评分,城市,人均价格
深,圳
外婆家,宝安中心区,浙菜,8.700000000000001,深圳,60
新白鹿餐厅,上沙/下沙,浙菜,8.566666666666668,深圳,65
桂满陇·锦绣江南,益田假日,浙菜,8.633333333333333,深圳,86
南京大牌档,华强北,南京菜,8.533333333333333,深圳,69
钱塘潮·精致江浙菜,市中心区,浙菜,8.566666666666666,深圳,154
新荣记,市中心区,苏浙菜,9.033333333333333,深圳,767
吴莊,喜荟城/水库,浙菜,7.8999999999999995,深圳,67
老吉士·上海菜,深圳湾,本帮江浙菜,8.533333333333333,深圳,270
觀漁·创新杭帮菜,香蜜湖,苏浙菜,8.866666666666667,深圳,86
颂·江南宴,荔枝公园片区,浙菜,9.0,深圳,133
绿茶餐厅,海岸城,浙菜,7.833333333333333,深圳,75
豫园上海饭庄,市中心区,苏浙菜,8.466666666666667,深圳,339
西瑭·小品,梅林,浙菜,7.099999999999999,深圳,90
乐忻皇朝汇,深圳湾,苏浙菜,8.666666666666666,深圳,110
六千馆,梅林,苏浙菜,8.266666666666667,深圳,69
江南厨子,海岸城,苏浙菜,7.866666666666667,深圳,141
江南味道,宝安南路沿线,苏浙菜,7.466666666666666,深圳,82
老大昌酒楼,华强北,本帮江浙菜,8.066666666666666,深圳,140
香乐园中餐厅,市中心/会展中心,淮扬菜,8.6,深圳,300
桂馨语,布吉街/东站,浙菜,7.766666666666666,深圳,80
西湖春天,笋岗,苏浙菜,8.1,深圳,134
舾溪里,华强北,浙菜,8.166666666666666,深圳,62
浙礼,市中心区,苏浙菜,7.633333333333333,深圳,68
钱塘小馆,深圳湾,苏浙菜,7.966666666666666,深圳,98
杭苑,布吉街/东站,浙菜,7.566666666666667,深圳,83
金牌小龙,益田假日,苏浙菜,7.1000000000000005,深圳,70
安小馆,景田,苏浙菜,8.0,深圳,77
上海老栈,蛇口,本帮江浙菜,7.866666666666667,深圳,69
宴兰亭,岗头/雪象,苏浙菜,8.100000000000001,深圳,91
老绍兴酒楼,科技园,苏浙菜,7.866666666666667,深圳,96
上海宾馆中餐厅·大上海酒楼,华强北,苏浙菜,8.1,深圳,126
黄兴记江南美食,西丽,淮扬菜,7.733333333333333,深圳,68
谨杭味道,东门商业圈,苏浙菜,7.400000000000001,深圳,78
南海云庐,蛇口,浙菜,8.166666666666666,深圳,508
怡园饭店,梅林,淮扬菜,7.733333333333333,深圳,134
二小姐的店,龙华,苏浙菜,8.333333333333334,深圳,76
宴遇江南,科技园,淮扬菜,7.633333333333333,深圳,324
钱塘来客,海岸城/保利,苏浙菜,7.166666666666667,深圳,62
大红灯笼江南菜馆,华强北,苏浙菜,7.266666666666667,深圳,74
新全盛私房菜馆,龙岗中心区,苏浙菜,7.2,深圳,215
深航国际酒店江南春中餐厅,车公庙,苏浙菜,8.2,深圳,167
化州丰汇饭店,大浪,苏浙菜,7.233333333333333,深圳,59
姑奶奶厨坊,八卦岭/园岭,苏浙菜,7.766666666666667,深圳,44
外婆时代,七巧国,苏浙菜,7.666666666666667,深圳,74
天养脯雪,上沙/下沙,浙菜,7.633333333333333,深圳,428
苏商盛宴酒楼,科技园,苏浙菜,7.7,深圳,97
江南面缘私房菜,龙华,本帮江浙菜,7.266666666666666,深圳,47
西湖明珠大酒楼,车公庙,苏浙菜,6.900000000000001,深圳,69
崔福哥鸭血粉丝,华强北,南京菜,7.3,深圳,0
饶客饭店,黄贝岭,苏浙菜,6.900000000000001,深圳,0
永轩楼,西乡,苏浙菜,6.933333333333334,深圳,62
369小苑·老邹鹅宴,南头,温州菜,7.3999999999999995,深圳,0
大红灯笼,大运,苏浙菜,6.900000000000001,深圳,74
新记化州鸡饭店,坑梓/竹坑,苏浙菜,7.166666666666667,深圳,40
东安饭店,大鹏,苏浙菜,7.266666666666667,深圳,0
田作饭店,坪山区,苏浙菜,6.966666666666666,深圳,0
乡村人家,龙华,苏浙菜,7.366666666666667,深圳,90
浙江风味餐厅,竹子林,浙菜,6.900000000000001,深圳,0
忆江南,南油,苏浙菜,0.0,深圳,0
维也纳酒店多伦多餐厅,龙井,苏浙菜,6.866666666666667,深圳,0
道味炸酱面,万科广场/世贸,浙菜,7.133333333333333,深圳,16
招记烧腊饭店,沙井,苏浙菜,7.066666666666667,深圳,28
康富来老上海,皇岗,本帮江浙菜,7.0,深圳,16
南巷深处,科技园,浙菜,6.900000000000001,深圳,0
新乐万家餐厅,科技园,淮扬菜,7.0,深圳,0
汤阿妈小吃,市中心区,浙菜,6.866666666666667,深圳,0
潮客菜馆,新安,苏浙菜,6.8,深圳,0
浙西人家,蛇口,苏浙菜,6.900000000000001,深圳,0
常德佬土钵菜,横岗,苏帮菜,6.966666666666666,深圳,0
听了老简,科技园,淮扬菜,6.900000000000001,深圳,0
世外桃源,横岗,苏浙菜,6.900000000000001,深圳,0
铭兴饭店,华侨城,苏浙菜,7.0,深圳,0
揭西顺发饭店,双龙/南联,苏浙菜,6.900000000000001,深圳,0
来我家   温州特色小吃,观澜,温州菜,6.900000000000001,深圳,0
米集盒,光明,浙菜,7.233333333333333,深圳,0
膳庭乐坊,双龙/南联,苏浙菜,6.866666666666667,深圳,37
高州羊肉店,沙井,苏浙菜,6.900000000000001,深圳,0
新厨意煲仔饭,沙头角,苏浙菜,6.800000000000001,深圳,0
潮汕鹅肉饭店,科技园,苏浙菜,6.900000000000001,深圳,0
宾记饭店,坑梓/竹坑,苏浙菜,7.266666666666667,深圳,0
紫金八刀汤紫金饭店,坑梓/竹坑,苏浙菜,6.900000000000001,深圳,0
客興菜馆,观澜,苏浙菜,7.066666666666666,深圳,0
九百碗,华强北,浙菜,0.0,深圳,0
力森名菜,万象城,浙菜,6.900000000000001,深圳,0
振鹏饭店,双龙/南联,苏浙菜,6.866666666666667,深圳,0
余福记北京烤鸭,双龙/南联,苏浙菜,6.933333333333334,深圳,0
谷味佳,西丽,浙菜,7.333333333333333,深圳,26
潮州饭店,福永,苏浙菜,6.8,深圳,0
咸骨粥爽滑饺子王,龙岗区,本帮江浙菜,7.133333333333333,深圳,0
香味园饭店,龙岗区,苏浙菜,6.900000000000001,深圳,0
小湘农家,沙井,苏浙菜,7.099999999999999,深圳,0
鼎胜饭店,葵涌,苏浙菜,7.0,深圳,0
高州家乡菜馆,沙井,苏浙菜,7.0,深圳,0
江记饭店,坑梓/竹坑,苏浙菜,6.900000000000001,深圳,0
青葱餐厅,双龙/南联,苏浙菜,6.900000000000001,深圳,0
