商家名,商圈,类型,评分,城市,人均价格
苏,州
苏州姑苏家宴正宗苏帮菜 松鼠桂鱼 熟醉蟹,平江路,苏帮菜,8.4,苏州,71
江南雅厨,李公堤,苏浙菜,9.266666666666667,苏州,194
苏枕河精致苏帮菜 熟醉蟹 松鼠桂鱼,山塘街,苏帮菜,8.933333333333334,苏州,78
米桃-枫桥夜泊·牡丹亭,塔园路,苏帮菜,9.1,苏州,118
吴越荣记,长桥地区,苏帮菜,8.966666666666667,苏州,94
苏地人家·苏州菜·阳澄湖大闸蟹·松鼠桂鱼,观前街地区,苏帮菜,8.966666666666667,苏州,110
平江桃花源记,平江路,苏帮菜,8.066666666666668,苏州,44
美虾美蟹·蟹粉捞饭,湖东邻里中心,苏帮菜,9.2,苏州,156
珍珠饭店,观前街地区,苏帮菜,7.833333333333333,苏州,84
新梅华餐厅,苏州中心商场,苏帮菜,9.033333333333333,苏州,101
探花·意境江南菜·唐伯虎文化体验店·大闸蟹,观前街地区,苏帮菜,8.933333333333334,苏州,79
苏州太太精致苏帮菜·松鼠桂鱼·熟醉蟹,拙政园,苏帮菜,8.6,苏州,69
和顺羊肉馆,木渎地区,苏浙菜,9.066666666666668,苏州,89
木香中餐厅,拙政园,苏帮菜,8.833333333333334,苏州,112
松鹤楼,观前街地区,苏帮菜,7.5,苏州,150
醉隐江南·意境江浙菜,繁花中心,苏浙菜,8.333333333333334,苏州,66
新发现,苏州中心商场,浙菜,8.666666666666666,苏州,70
苏州W酒店·苏滟,苏州中心,苏帮菜,9.2,苏州,479
印象小镇餐厅,周庄古镇景区,苏帮菜,9.0,苏州,67
上上灶饭店,松陵,苏浙菜,9.133333333333333,苏州,113
鹤园茶楼·茶点·苏帮菜馆,平江路,苏帮菜,8.6,苏州,88
南京大牌档,苏州中心,南京菜,8.633333333333333,苏州,67
新聚丰菜馆,观前街地区,苏帮菜,7.733333333333333,苏州,161
金牌外婆家,苏州中心,浙菜,8.799999999999999,苏州,68
五卅酒家,十全街/凤凰街,苏帮菜,7.766666666666666,苏州,100
苏城家宴,李公堤,苏帮菜,8.833333333333334,苏州,158
得月楼,观前街地区,苏帮菜,7.333333333333333,苏州,154
阳澄湖老北门柏漾酒店•中餐厅,唯亭,苏浙菜,8.166666666666666,苏州,164
苏州凯悦酒店·华池88中餐厅,博览中心,苏帮菜,8.799999999999999,苏州,410
吴记小园楼,拙政园,苏帮菜,8.233333333333333,苏州,79
追夜小酒肆·元夕,木渎地区,苏浙菜,9.1,苏州,99
暗恋桃花源,苏州中心,浙菜,8.933333333333332,苏州,85
烟雨人家特色农家菜,周庄,苏帮菜,9.1,苏州,75
御锦天,苏州中心商场,苏浙菜,9.033333333333333,苏州,267
小欢喜苏帮菜,景德路沿线,苏帮菜,7.8,苏州,66
苏州太湖万丽酒店·万丽轩中餐厅,吴中区,苏帮菜,8.833333333333334,苏州,277
老苏州茶酒楼·始于1992,十全街/凤凰街,苏帮菜,7.8999999999999995,苏州,113
三星羊肉馆,木渎地区,苏浙菜,9.133333333333333,苏州,94
火福·天湖阁,唯亭,苏浙菜,9.033333333333333,苏州,223
洋洋中餐馆,李公堤,苏帮菜,8.799999999999999,苏州,148
二十八里太湖船菜,木渎地区,苏浙菜,8.833333333333334,苏州,119
鱼食饭稻—江浙土菜,平江路,苏帮菜,7.733333333333334,苏州,96
协和菜馆,十全街/凤凰街,苏帮菜,7.533333333333334,苏州,92
馋遇江南·高级餐厅,陆慕元和,苏帮菜,8.866666666666667,苏州,134
鹿+藏书羊肉店,木渎地区,苏浙菜,8.4,苏州,75
老东门精致苏帮菜·松鼠桂鱼,平江路,苏帮菜,8.266666666666666,苏州,63
老阊门菜馆,石路地区,苏帮菜,8.533333333333333,苏州,114
一块七时尚餐厅,世茂广场,苏帮菜,8.9,苏州,63
苏州柏悦酒店·西洲轩,湖东邻里中心,淮扬菜,8.033333333333333,苏州,346
伴园得趣堂苏帮菜,平江路,苏帮菜,9.233333333333333,苏州,274
隐庐居私房菜馆,金鸡湖商业广场,苏帮菜,9.1,苏州,148
私家小厨,周庄古镇景区,苏帮菜,9.2,苏州,70
半月斋,十全街/凤凰街,苏浙菜,8.266666666666666,苏州,53
桂满陇·西湖船宴,圆融时代广场,浙菜,8.966666666666667,苏州,89
老枫庭,木渎地区,苏帮菜,9.066666666666666,苏州,103
金海华·苏SHOW,博览中心,苏帮菜,9.0,苏州,200
吴宅庄园,山塘街,苏帮菜,8.566666666666668,苏州,225
马头巷·苏式小馆,山塘街,苏帮菜,9.133333333333333,苏州,125
南园宾馆·荷花轩,十全街/凤凰街,苏帮菜,8.866666666666667,苏州,161
蜜桃餐厅·江浙融合菜,绿宝广场,苏浙菜,8.733333333333333,苏州,76
江南望灶·大闸蟹正当食,陆慕元和,苏浙菜,8.966666666666667,苏州,81
柳记亚军羊肉店,盘门,苏浙菜,8.333333333333334,苏州,68
