商家名,商圈,类型,评分,城市,人均价格
西,安
淮扬府·游园京梦,南大街,淮扬菜,9.2,西安,185
海趣餐厅·苏式家菜,高新路沿线,苏浙菜,9.2,西安,108
淮扬韵,文景路,淮扬菜,9.066666666666666,西安,126
鼎泰丰,南院门,淮扬菜,8.9,西安,131
瓦库30号,曲江新区,苏浙菜,8.966666666666667,西安,138
肆海佳宴,高新路沿线,苏浙菜,9.0,西安,93
可为·慢食,大雁塔,淮扬菜,8.4,西安,484
东亚饭店,钟楼/鼓楼,苏浙菜,7.766666666666667,西安,124
姑苏小镇淮扬菜,土门,苏浙菜,8.433333333333334,西安,96
绿茶餐厅,大雁塔,浙菜,8.566666666666666,西安,72
梧桐院子,曲江新区,淮扬菜,7.933333333333334,西安,553
虞丰一小馆·烈猫酒馆,南大街,浙菜,9.0,西安,82
老上海菜馆,桃园路,本帮江浙菜,8.333333333333334,西安,77
渔美菜香,未央路沿线,苏浙菜,8.066666666666665,西安,83
扬盛昌狮子头,交大东校区/理工大,淮扬菜,8.333333333333334,西安,171
富春江浙西桐庐餐厅,安定门,苏浙菜,9.033333333333333,西安,86
壹览江南花雕酒,省体育场,苏浙菜,8.5,西安,94
晓乐惠,龙首,本帮江浙菜,7.666666666666667,西安,15
蘇浙小馆,高新路沿线,淮扬菜,7.966666666666666,西安,81
拾叁潮花园餐厅,太华路沿线,苏浙菜,8.266666666666666,西安,77
外滩汇,小雁塔/南稍门,本帮江浙菜,7.833333333333333,西安,121
帝江餐厅,未央路沿线,淮扬菜,8.666666666666666,西安,141
上海人家,朱雀门,本帮江浙菜,8.266666666666666,西安,125
老外滩菜馆,紫薇田园都市,苏浙菜,8.333333333333334,西安,90
老客站酒楼,交大东校区/理工大,本帮江浙菜,7.3999999999999995,西安,92
苏浙会馆,高新路沿线,苏浙菜,8.299999999999999,西安,129
二十四单·淮扬新味,丈八,淮扬菜,8.266666666666667,西安,323
老萬興1951,何家村/黄雁村,淮扬菜,8.4,西安,95
午后江浙菜·茶,曲江新区,浙菜,8.066666666666666,西安,143
南方酒店·淮扬菜,唐延路沿线,淮扬菜,8.299999999999999,西安,168
王府花园酒店,高新路沿线,浙菜,8.333333333333334,西安,127
海约蟹粉狮子头•盱眙龙虾•烤肉,丈八,淮扬菜,7.933333333333334,西安,110
姑奶奶厨坊,小雁塔,苏浙菜,8.566666666666666,西安,48
外婆印象,西北大/西工大,浙菜,7.8999999999999995,西安,46
怡霖小馆·淮扬味道,小寨,淮扬菜,8.266666666666666,西安,78
福建福安赛岐饭店,辛家庙,苏浙菜,7.233333333333333,西安,0
咸亨酒店,丈八,浙菜,7.866666666666666,西安,128
宴江南酒楼,土门,浙菜,7.800000000000001,西安,46
