商家名,商圈,类型,评分,城市,人均价格
重,庆
杨记隆府,解放碑,川菜馆,9.033333333333333,重庆,102
月半,解放碑,川菜馆,8.933333333333332,重庆,63
山城老堂口•1636重庆老菜,解放碑,川菜馆,9.133333333333333,重庆,96
马房湾66号·江湖菜,沙坪坝/重庆大学,川菜馆,8.933333333333332,重庆,84
四十七楼大排档 skybar,北城天街/九街,川菜馆,7.833333333333333,重庆,85
醉八仙热酒馆,七星岗,川菜馆,8.633333333333333,重庆,56
饭粑跎·老重庆拌菜,解放碑,川菜馆,8.966666666666667,重庆,47
李子坝梁山鸡,化龙桥/重庆天地,川菜馆,9.066666666666668,重庆,95
晓彭肥肠鸡,临江门,川菜馆,8.633333333333333,重庆,71
旧识从前慢·川菜小酒馆,解放碑,川菜馆,9.166666666666666,重庆,82
沈姐万州烤鱼,沙坪坝,烤鱼,9.033333333333333,重庆,50
遇东岚,观音桥,川菜馆,9.133333333333333,重庆,77
老来福·酸汤兔,解放碑,川菜馆,8.766666666666667,重庆,80
烤匠麻辣烤鱼,解放碑,烤鱼,9.033333333333333,重庆,86
纯阳老酒馆,七星岗,川菜馆,8.5,重庆,76
盛天传统川菜馆,解放碑,川菜馆,9.1,重庆,65
山城饭局·市井江湖菜,南坪,川菜馆,8.733333333333334,重庆,81
拈菜,北城天街/九街,川菜馆,9.1,重庆,101
观音居•始于一九九八,观音桥,川菜馆,9.033333333333333,重庆,80
谭记王正宗万州烤鱼,沙坪坝,烤鱼,9.066666666666668,重庆,50
鱼小妖·民间意境菜,大坪,川菜馆,8.633333333333335,重庆,78
鬼冒火姜丝兔,五里店,川菜馆,8.200000000000001,重庆,68
慈记外婆桥食集·廿年川菜,解放碑,川菜馆,9.1,重庆,69
友谊食店,观音桥,川菜馆,8.233333333333334,重庆,83
莱忆八零·来凤鱼·璧山兔,龙头寺,川菜馆,8.533333333333333,重庆,70
尘香,解放碑,川菜馆,9.066666666666668,重庆,125
王肥肠,洋河花园,川菜馆,8.633333333333333,重庆,76
麒邻热炒,洋河花园,川菜馆,8.700000000000001,重庆,79
今朝醉小酒馆,解放碑,川菜馆,9.033333333333333,重庆,83
盛天毛血旺,解放碑,川菜馆,9.033333333333333,重庆,60
雾食Chic渝菜,龙头寺,川菜馆,9.0,重庆,88
曾老幺鱼庄,朝天门,川菜馆,7.633333333333333,重庆,87
半山小团圆,龙头寺,川菜馆,8.166666666666666,重庆,130
老院子肥肠鸡,观音桥,川菜馆,7.3,重庆,57
尹二姐川菜馆,解放碑,川菜馆,9.033333333333333,重庆,57
和记火爆,南滨路,川菜馆,8.333333333333334,重庆,88
太和小酒馆羊庄·家常菜·蒸笼宴,黄泥塝,川菜馆,9.0,重庆,60
花房泡椒酒馆,大渡口区,川菜馆,8.9,重庆,63
山茶川菜,解放碑,川菜馆,8.966666666666667,重庆,99
寻渝味,观音桥,川菜馆,9.0,重庆,79
巴门洞天川菜馆,解放碑,川菜馆,9.033333333333333,重庆,64
铜元酒馆,南滨路,川菜馆,8.433333333333334,重庆,79
桃花醉小酒馆,大坪,川菜馆,8.799999999999999,重庆,71
铜小馆,南滨路,川菜馆,8.966666666666667,重庆,110
山城羊肉馆,解放碑,川菜馆,7.833333333333333,重庆,60
九九牛肉馆,黄桷垭/南山,川菜馆,8.166666666666666,重庆,53
巫山纸包鱼,解放碑,烤鱼,9.033333333333333,重庆,75
渝江源·乡村味道,观音桥,川菜馆,9.0,重庆,56
老丘二,解放碑,川菜馆,8.1,重庆,46
白马记忆里,朝天门,川菜馆,8.8,重庆,71
夯子里江湖菜,较场口,川菜馆,8.966666666666667,重庆,58
零贰山火焰江湖菜,洪崖洞,川菜馆,8.666666666666668,重庆,71
玖玖蒸菜,弹子石,川菜馆,7.8999999999999995,重庆,47
帅家鸡·肥肠鸡,大坪,川菜馆,8.566666666666666,重庆,50
龚老幺 肥肠鸡,北部新区,川菜馆,8.866666666666667,重庆,63
聂发财来凤鱼,临江门,川菜馆,8.566666666666668,重庆,60
洪霞餐馆,北碚城北/九号好吃街,川菜馆,7.933333333333334,重庆,68
芸笙·国潮小馆,朝天门,川菜馆,8.766666666666666,重庆,80
五味府,南坪,川菜馆,8.766666666666667,重庆,55
灶东家民间菜,松树桥,川菜馆,8.700000000000001,重庆,74
弓虽昌焖烧鸡,大竹林,川菜馆,8.200000000000001,重庆,88
天治宣野椒鸡,龙头寺,川菜馆,8.9,重庆,61
弄色•花厨,长嘉汇商圈,川菜馆,8.433333333333332,重庆,102
顺祺佛爷煲,杨家坪,川菜馆,9.133333333333333,重庆,115
爱厨梁山鸡,三峡广场,干锅/香锅,8.933333333333332,重庆,46
陶苏·品味融合川菜,大坪,川菜馆,9.0,重庆,138
聊哥餐厅,财富中心,川菜馆,8.9,重庆,74
虎锅吊锅耗儿鱼,两路口,干锅/香锅,8.433333333333332,重庆,91
江湖黑大兔,杨家坪,川菜馆,8.666666666666666,重庆,103
江边边烤鱼,福利社,烤鱼,8.733333333333334,重庆,49
墟渡南山,南山,川菜馆,8.633333333333333,重庆,203
白马餐厅,北滨路,川菜馆,8.799999999999999,重庆,86
题色精奢川菜,观音桥,川菜馆,8.933333333333334,重庆,61
老袁家白砍鸡民间菜新牌坊店,新牌坊,川菜馆,8.366666666666665,重庆,65
先机®•泉水鸡汤,南山,川菜馆,8.9,重庆,97
祥和酒家,观音桥,川菜馆,7.733333333333333,重庆,71
巴人食塘,北部新区,川菜馆,7.633333333333333,重庆,66
陈永华蘸水肥肠,北部新区,川菜馆,8.866666666666667,重庆,54
太二酸菜鱼,大坪,酸菜鱼/水煮鱼,9.066666666666668,重庆,80
忠娃双椒鳝片,新牌坊,川菜馆,8.166666666666666,重庆,100
炙樽味,大坪,川菜馆,9.033333333333333,重庆,78
厨道口味菜馆,北部新区,川菜馆,8.966666666666667,重庆,72
醉翁居酒肆,观音桥,川菜馆,8.9,重庆,70
首坐公馆,北部新区,川菜馆,8.633333333333333,重庆,369
酒阳蒸经小酒馆,观音桥,川菜馆,8.666666666666666,重庆,77
太和羊肉馆·酸汤兔·油焖大虾,南坪,川菜馆,8.566666666666668,重庆,67
联防食店,黄桷坪,川菜馆,7.8999999999999995,重庆,49
湖景三号花园餐厅,新牌坊,川菜馆,8.633333333333335,重庆,238
柴门頭啖汤,五里店,川菜馆,8.733333333333334,重庆,168
阿嫂印象,大学城,川菜馆,9.1,重庆,63
酒歌小酌首创国粹文化酒馆,大坪,川菜馆,9.066666666666668,重庆,63
苗厨人家,观音桥,川菜馆,9.0,重庆,67
八嬢家常菜,南坪,川菜馆,8.466666666666667,重庆,72
歌乐山辣子鸡,解放碑,川菜馆,8.633333333333333,重庆,64
嫩芽NAYAKA融合川菜,洪崖洞,川菜馆,8.933333333333332,重庆,77
五一路余姐毛血旺,解放碑,川菜馆,7.066666666666666,重庆,48
食色飞白·江湖菜,北滨路,川菜馆,8.7,重庆,88
张记兴隆重庆菜,回龙湾,川菜馆,9.066666666666666,重庆,72
舌尖记忆融合川菜,观音桥,川菜馆,8.8,重庆,65
思味堂私房川菜,财信广场/东方广场,川菜馆,9.0,重庆,88
品胜大牌檔,龙湖/水晶郦城,顺德菜,7.6000000000000005,重庆,133
The Murray美利餐厅,解放碑,茶餐厅,8.666666666666666,重庆,58
金翠河烧鹅餐厅,北城天街/九街,茶餐厅,8.366666666666667,重庆,80
鹅冠,南坪,茶餐厅,7.8999999999999995,重庆,85
